title,content,tag,submited,passed,passing_rate,level,p_id
[NOIP2005普及组]循环," 
            乐乐是一个聪明而又勤奋好学的孩子。他总喜欢探求事物的规律。一天，他突然对数的正整数次幂产生了兴趣。
众所周知，222的正整数次幂最后一位数总是不断的在重复2,4,8,6,2,4,8,6…2,4,8,6,2,4,8,6…2,4,8,6,2,4,8,6…我们说222的正整数次幂最后一位的循环长度是444（实际上444的倍数都可以说是循环长度，但我们只考虑最小的循环长度）。类似的，其余的数字的正整数次幂最后一位数也有类似的循环现象：
    循环    循环长度
2   2,4,8,6   4
3   3,9,7,1   4
4   4,6       2
5   5         1
6   6         1
7   7,9,3,1   4
8   8,4,2,6   4
9   9,1       2

这时乐乐的问题就出来了：是不是只有最后一位才有这样的循环呢？对于一个整数nnn的正整数次幂来说，它的后k位是否会发生循环？如果循环的话，循环长度是多少呢？
注意：
1． 如果nnn的某个正整数次幂的位数不足kkk，那么不足的高位看做是000。
2． 如果循环长度是LLL，那么说明对于任意的正整数a,na,na,n的aaa次幂和a+La+La+L次幂的最后k位都相同。
 输入格式 一行，包含222个整数n(1≤n<10100)n(1 \le n < {10}^{100})n(1≤n<10100)和k(1≤k≤100)k(1 \le  k \le 100)k(1≤k≤100)，nnn和kkk之间用一个空格隔开，表示要求nnn的正整数次幂的最后kkk位的循环长度。
 输出格式 一个整数，表示循环长度。如果循环不存在，输出−1-1−1。
  输入输出样例 输入 #1 
    复制
   32 2 输出 #1 
    复制
   4 说明/提示 【数据范围】
对于 30%30 \%30% 的数据，k≤4k \le 4k≤4；
对于全部的数据，1≤n<101001 \le n < {10}^{100}1≤n<10100，1≤k≤1001 \le k \le 1001≤k≤100。
【题目来源】
NOIP 2005 普及组第四题","NOIp普及组
高性能
2005",7.72,2.33,0.3,提高+/省选-,P1050
[NOIP2005提高组]谁拿了最多奖学金," 
            某校的惯例是在每学期的期末考试之后发放奖学金。发放的奖学金共有五种，获取的条件各自不同：

院士奖学金，每人800080008000元，期末平均成绩高于808080分（>80>80>80），并且在本学期内发表111篇或111篇以上论文的学生均可获得；
五四奖学金，每人400040004000元，期末平均成绩高于858585分（>85>85>85），并且班级评议成绩高于808080分（>80>80>80）的学生均可获得；
成绩优秀奖，每人200020002000元，期末平均成绩高于909090分（>90>90>90）的学生均可获得；
西部奖学金，每人100010001000元，期末平均成绩高于858585分（>85>85>85）的西部省份学生均可获得；
班级贡献奖，每人850850850元，班级评议成绩高于808080分（>80>80>80）的学生干部均可获得；

只要符合条件就可以得奖，每项奖学金的获奖人数没有限制，每名学生也可以同时获得多项奖学金。例如姚林的期末平均成绩是878787分，班级评议成绩828282分，同时他还是一位学生干部，那么他可以同时获得五四奖学金和班级贡献奖，奖金总数是485048504850元。
现在给出若干学生的相关数据，请计算哪些同学获得的奖金总数最高（假设总有同学能满足获得奖学金的条件）。
 输入格式 第一行是111个整数N(1≤N≤100)N(1 \le  N \le  100)N(1≤N≤100)，表示学生的总数。
接下来的NNN行每行是一位学生的数据，从左向右依次是姓名，期末平均成绩，班级评议成绩，是否是学生干部，是否是西部省份学生，以及发表的论文数。姓名是由大小写英文字母组成的长度不超过202020的字符串（不含空格）；期末平均成绩和班级评议成绩都是000到100100100之间的整数（包括000和100100100）；是否是学生干部和是否是西部省份学生分别用111个字符表示，YYY表示是，NNN表示不是；发表的论文数是000到101010的整数（包括000和101010）。每两个相邻数据项之间用一个空格分隔。
 输出格式 包括333行。
第111行是获得最多奖金的学生的姓名。
第222行是这名学生获得的奖金总数。如果有两位或两位以上的学生获得的奖金最多，输出他们之中在输入文件中出现最早的学生的姓名。
第333行是这NNN个学生获得的奖学金的总数。
  输入输出样例 输入 #1 
    复制
   4
YaoLin 87 82 Y N 0
ChenRuiyi 88 78 N Y 1
LiXin 92 88 N N 0
ZhangQin 83 87 Y N 1
 输出 #1 
    复制
   ChenRuiyi
9000
28700
 说明/提示 【题目来源】
NOIP 2005 提高组第一题","NOIp提高组
2005",69.92,33.76,0.48,普及-,P1051
[NOIP2005提高组]过河," 
            在河上有一座独木桥，一只青蛙想沿着独木桥从河的一侧跳到另一侧。在桥上有一些石子，青蛙很讨厌踩在这些石子上。由于桥的长度和青蛙一次跳过的距离都是正整数，我们可以把独木桥上青蛙可能到达的点看成数轴上的一串整点：0,1,…,L0,1,…,L0,1,…,L（其中LLL是桥的长度）。坐标为000的点表示桥的起点，坐标为LLL的点表示桥的终点。青蛙从桥的起点开始，不停的向终点方向跳跃。一次跳跃的距离是SSS到TTT之间的任意正整数（包括S,TS,TS,T）。当青蛙跳到或跳过坐标为LLL的点时，就算青蛙已经跳出了独木桥。
题目给出独木桥的长度LLL，青蛙跳跃的距离范围S,TS,TS,T，桥上石子的位置。你的任务是确定青蛙要想过河，最少需要踩到的石子数。
 输入格式 第一行有111个正整数L(1≤L≤109)L(1  \le L \le  10^9)L(1≤L≤109)，表示独木桥的长度。
第二行有333个正整数S,T,MS,T,MS,T,M，分别表示青蛙一次跳跃的最小距离，最大距离及桥上石子的个数，其中1≤S≤T≤101 \le  S \le  T \le 101≤S≤T≤10,1≤M≤1001 \le M  \le 1001≤M≤100。
第三行有MMM个不同的正整数分别表示这MMM个石子在数轴上的位置（数据保证桥的起点和终点处没有石子）。所有相邻的整数之间用一个空格隔开。
 输出格式 一个整数，表示青蛙过河最少需要踩到的石子数。
  输入输出样例 输入 #1 
    复制
   10
2 3 5
2 3 5 6 7
 输出 #1 
    复制
   2 说明/提示 对于30%的数据，L≤10000L \le 10000L≤10000；
对于全部的数据，L≤109L \le 10^9L≤109。
【题目来源】
NOIP 2005 提高组第二题","NOIp提高组
2005",37.68,10.1,0.27,普及+/提高,P1052
[NOIP2005提高组]篝火晚会," 
            佳佳刚进高中，在军训的时候，由于佳佳吃苦耐劳，很快得到了教官的赏识，成为了“小教官”。在军训结束的那天晚上，佳佳被命令组织同学们进行篝火晚会。一共有nnn个同学，编号从111到nnn。一开始，同学们按照1,2,…,n1,2,…,n1,2,…,n的顺序坐成一圈，而实际上每个人都有两个最希望相邻的同学。如何下命令调整同学的次序，形成新的一个圈，使之符合同学们的意愿，成为摆在佳佳面前的一大难题。
佳佳可向同学们下达命令，每一个命令的形式如下：
(b1,b2,...bm−1,bm)(b_1, b_2,... b_{m-1}, b_m)
(b1​,b2​,...bm−1​,bm​)
这里mmm的值是由佳佳决定的，每次命令mmm的值都可以不同。这个命令的作用是移动编号是b1,b2,…,bmb_1,b_2,…, b_mb1​,b2​,…,bm​的这m个同学的位置。要求b1b_1b1​换到b2b_2b2​的位置上，b2b_2b2​换到b3b_3b3​的位置上，……，要求bmb_mbm​换到b1b_1b1​的位置上。执行每个命令都需要一些代价。我们假定如果一个命令要移动mmm个人的位置，那么这个命令的代价就是mmm。我们需要佳佳用最少的总代价实现同学们的意愿，你能帮助佳佳吗？
 输入格式 第一行是一个整数n(3≤n≤50000)n(3 \le n  \le  50000)n(3≤n≤50000)，表示一共有nnn个同学。
其后nnn行每行包括222个不同的正整数，以一个空格隔开，分别表示编号是111的同学最希望相邻的两个同学的编号，编号是222的同学最希望相邻的两个同学的编号，……，编号是nnn的同学最希望相邻的两个同学的编号。
 输出格式 一个整数，为最小的总代价。如果无论怎么调整都不能符合每个同学的愿望，则输出−1-1−1。
  输入输出样例 输入 #1 
    复制
   4
3 4
4 3
1 2
1 2
 输出 #1 
    复制
   2 说明/提示 对于30%的数据，n≤1000n \le 1000n≤1000；
对于全部的数据，n≤50000n  \le  50000n≤50000。
【题目来源】
NOIP 2005 提高组第三题","NOIp提高组
2005",8.13,3.05,0.38,提高+/省选-,P1053
[NOIP2005提高组]等价表达式," 
            明明进了中学之后，学到了代数表达式。有一天，他碰到一个很麻烦的选择题。这个题目的题干中首先给出了一个代数表达式，然后列出了若干选项，每个选项也是一个代数表达式，题目的要求是判断选项中哪些代数表达式是和题干中的表达式等价的。
这个题目手算很麻烦，因为明明对计算机编程很感兴趣，所以他想是不是可以用计算机来解决这个问题。假设你是明明，能完成这个任务吗？
这个选择题中的每个表达式都满足下面的性质：

表达式只可能包含一个变量‘aaa’。
表达式中出现的数都是正整数，而且都小于100001000010000。
表达式中可以包括四种运算+（加），-（减），*（乘），^（乘幂），以及小括号(,)。小括号的优先级最高，其次是^，然后是*，最后是+和-。+和-的优先级是相同的。相同优先级的运算从左到右进行。（注意：运算符+，-，*，^以及小括号(，)都是英文字符）
幂指数只可能是111到101010之间的正整数（包括111和101010）。
表达式内部，头部或者尾部都可能有一些多余的空格。

下面是一些合理的表达式的例子：
((a^1) ^ 2)^3，a*a+a-a，((a+a))，9999+(a-a)*a，1 + (a -1)^3，1^10^9………
 输入格式 第一行给出的是题干中的表达式。
第二行是一个整数n(2≤n≤26)n(2 \le n \le  26)n(2≤n≤26)，表示选项的个数。后面nnn行，每行包括一个选项中的表达式。这nnn个选项的标号分别是A,B,C,D…A,B,C,D…A,B,C,D…
输入中的表达式的长度都不超过50个字符，而且保证选项中总有表达式和题干中的表达式是等价的。
 输出格式 一行，包括一系列选项的标号，表示哪些选项是和题干中的表达式等价的。选项的标号按照字母顺序排列，而且之间没有空格。
  输入输出样例 输入 #1 
    复制
   ( a + 1) ^2
3
(a-1)^2+4*a
a + 1+ a
a^2 + 2 * a * 1 + 1^2 + 10 -10 +a -a
 输出 #1 
    复制
   AC 说明/提示 对于30%的数据，表达式中只可能出现两种运算符‘+’和-；
对于其它的数据，四种运算符+，-，*，^在表达式中都可能出现。
对于全部的数据，表达式中都可能出现小括号(和)。
【题目来源】
NOIP 2005 提高组第四题","NOIp提高组
2005",10.34,2.1,0.2,提高+/省选-,P1054
[NOIP2008普及组]ISBN号码," 
            每一本正式出版的图书都有一个ISBN号码与之对应，ISBN码包括999位数字、111位识别码和333位分隔符，其规定格式如x-xxx-xxxxx-x，其中符号-就是分隔符（键盘上的减号），最后一位是识别码，例如0-670-82162-4就是一个标准的ISBN码。ISBN码的首位数字表示书籍的出版语言，例如000代表英语；第一个分隔符-之后的三位数字代表出版社，例如670670670代表维京出版社；第二个分隔符后的五位数字代表该书在该出版社的编号；最后一位为识别码。
识别码的计算方法如下：
首位数字乘以111加上次位数字乘以222……以此类推，用所得的结果 mod 11 \bmod 11mod11，所得的余数即为识别码，如果余数为101010，则识别码为大写字母XXX。例如ISBN号码0-670-82162-4中的识别码444是这样得到的：对067082162这999个数字，从左至右，分别乘以1,2,...,91,2,...,91,2,...,9再求和，即0×1+6×2+……+2×9=1580×1+6×2+……+2×9=1580×1+6×2+……+2×9=158，然后取158 mod 11158 \bmod 11158mod11的结果444作为识别码。
你的任务是编写程序判断输入的ISBN号码中识别码是否正确，如果正确，则仅输出Right；如果错误，则输出你认为是正确的ISBN号码。
 输入格式 一个字符序列，表示一本书的ISBN号码（保证输入符合ISBN号码的格式要求）。
 输出格式 一行，假如输入的ISBN号码的识别码正确，那么输出Right，否则，按照规定的格式，输出正确的ISBN号码（包括分隔符-）。
  输入输出样例 输入 #1 
    复制
   0-670-82162-4 输出 #1 
    复制
   Right输入 #2 
    复制
   0-670-82162-0 输出 #2 
    复制
   0-670-82162-4 说明/提示 2008普及组第一题","NOIp普及组
2008",345.62,87.89,0.25,普及-,P1055
[NOIP2008普及组]排座椅," 
 

上课的时候总会有一些同学和前后左右的人交头接耳，这是令小学班主任十分头疼的一件事情。不过，班主任小雪发现了一些有趣的现象，当同学们的座次确定下来之后，只有有限的 
D
D 对同学上课时会交头接耳。

同学们在教室中坐成了 
M
M 行 
N
N 列，坐在第 
i
i 行第 
j
j 列的同学的位置是 
(i,j)
(i,j)，为了方便同学们进出，在教室中设置了 
K
K 条横向的通道，
L
L 条纵向的通道。

于是，聪明的小雪想到了一个办法，或许可以减少上课时学生交头接耳的问题：她打算重新摆放桌椅，改变同学们桌椅间通道的位置，因为如果一条通道隔开了 
2
2 个会交头接耳的同学，那么他们就不会交头接耳了。

请你帮忙给小雪编写一个程序，给出最好的通道划分方案。在该方案下，上课时交头接耳的学生的对数最少。

输入格式

第一行，有 
5
5 个用空格隔开的整数，分别是 
M,N,K,L,D(2 \le N,M \le 1000,0 \le K<M,0 \le L<N,D \le 2000)
M,N,K,L,D(2≤N,M≤1000,0≤K<M,0≤L<N,D≤2000)。

接下来的 
D
D 行，每行有 
4
4 个用空格隔开的整数。第 
i
i 行的 
4
4 个整数 
X_i,Y_i,P_i,Q_i
X
i
	​

,Y
i
	​

,P
i
	​

,Q
i
	​

，表示坐在位置 
(X_i,Y_i)
(X
i
	​

,Y
i
	​

) 与 
(P_i,Q_i)
(P
i
	​

,Q
i
	​

) 的两个同学会交头接耳（输入保证他们前后相邻或者左右相邻）。

输入数据保证最优方案的唯一性。

输出格式

共两行。
第一行包含 
K
K 个整数 
a_1,a_2,\ldots,a_K
a
1
	​

,a
2
	​

,…,a
K
	​

，表示第 
a_1
a
1
	​

 行和 
a_1+1
a
1
	​

+1 行之间、第 
a_2
a
2
	​

 行和 
a_2+1
a
2
	​

+1 行之间、…、第 
a_K
a
K
	​

 行和第 
a_K+1
a
K
	​

+1 行之间要开辟通道，其中 
a_i< a_{i+1}
a
i
	​

<a
i+1
	​

，每两个整数之间用空格隔开（行尾没有空格）。

第二行包含 
L
L 个整数 
b_1,b_2,\ldots,b_L
b
1
	​

,b
2
	​

,…,b
L
	​

，表示第 
b_1
b
1
	​

 列和 
b_1+1
b
1
	​

+1 列之间、第 
b_2
b
2
	​

 列和 
b_2+1
b
2
	​

+1 列之间、…、第 
b_L
b
L
	​

 列和第 
b_L+1
b
L
	​

+1 列之间要开辟通道，其中
b_i< b_{i+1}
b
i
	​

<b
i+1
	​

，每两个整数之间用空格隔开（列尾没有空格）。

输入输出样例
输入 #1
复制
4 5 1 2 3
4 2 4 3
2 3 3 3
2 5 2 4

输出 #1
复制
2
2 4

说明/提示

上图中用符号*、※、+标出了 
3
3 对会交头接耳的学生的位置，图中 
3
3 条粗线的位置表示通道，图示的通道划分方案是唯一的最佳方案。

2008 年普及组第二题","NOIp普及组
2008",69.09,23.71,0.34,普及/提高-,P1056
[NOIP2008普及组]传球游戏," 
            上体育课的时候，小蛮的老师经常带着同学们一起做游戏。这次，老师带着同学们一起做传球游戏。
游戏规则是这样的：nnn个同学站成一个圆圈，其中的一个同学手里拿着一个球，当老师吹哨子时开始传球，每个同学可以把球传给自己左右的两个同学中的一个（左右任意），当老师再次吹哨子时，传球停止，此时，拿着球没有传出去的那个同学就是败者，要给大家表演一个节目。
聪明的小蛮提出一个有趣的问题：有多少种不同的传球方法可以使得从小蛮手里开始传的球，传了mmm次以后，又回到小蛮手里。两种传球方法被视作不同的方法，当且仅当这两种方法中，接到球的同学按接球顺序组成的序列是不同的。比如有三个同学111号、222号、333号，并假设小蛮为111号，球传了333次回到小蛮手里的方式有111->222->333->111和111->333->222->111，共222种。
 输入格式 一行，有两个用空格隔开的整数n,m(3≤n≤30,1≤m≤30)n,m(3 \le n \le 30,1 \le m \le 30)n,m(3≤n≤30,1≤m≤30)。
 输出格式 111个整数，表示符合题意的方法数。
  输入输出样例 输入 #1 
    复制
   3 3 输出 #1 
    复制
   2 说明/提示 40%的数据满足：3≤n≤30,1≤m≤203 \le n \le 30,1 \le m \le 203≤n≤30,1≤m≤20
100%的数据满足：3≤n≤30,1≤m≤303 \le n \le 30,1 \le m \le 303≤n≤30,1≤m≤30
2008普及组第三题","NOIp普及组
2008",45.35,22.01,0.49,普及/提高-,P1057
[NOIP2008普及组]立体图," 
            小渊是个聪明的孩子，他经常会给周围的小朋友们将写自己认为有趣的内容。最近，他准备给小朋友们讲解立体图，请你帮他画出立体图。
小渊有一块面积为m×nm \times nm×n的矩形区域，上面有m×nm \times nm×n个边长为111的格子，每个格子上堆了一些同样大小的积木（积木的长宽高都是111），小渊想请你打印出这些格子的立体图。我们定义每个积木为如下格式，并且不会做任何翻转旋转，只会严格以这一种形式摆放：

每个顶点用111个加号’+++’表示，长用333个”−-−”表示，宽用111个”/”，高用两个”|”表示。字符’+++’,”−-−”,”/”,”|”的ASCIIASCIIASCII码分别为434343，454545，474747，124124124。字符’.’(ASCIIASCIIASCII码464646)需要作为背景输出，即立体图里的空白部分需要用’.’来代替。立体图的画法如下面的规则：
若两块积木左右相邻，图示为：

若两块积木上下相邻，图示为：

若两块积木前后相邻，图示为：

立体图中，定义位于第(m,1(m,1(m,1)的格子（即第mmm行第111列的格子）上面自底向上的第一块积木（即最下面的一块积木）的左下角顶点为整张图最左下角的点。
 输入格式 第一行有用空格隔开的222个整数mmm和nnn，表示有m×nm \times nm×n个格子(1≤m,n≤50)(1 \le m,n \le 50)(1≤m,n≤50)。
接下来的mmm行，是一个m×nm \times nm×n的矩阵，每行有nnn个用空格隔开的整数，其中第iii行第jjj列上的整数表示第iii行第jjj列的个子上摞有多少个积木（1≤1 \le 1≤每个格子上的积木数≤100 \le 100≤100）。
 输出格式 输出包含题目要求的立体图，是一个KKK行LLL列的字符串矩阵，其中KKK和LLL表示最少需要KKK行LLL列才能按规定输出立体图。
  输入输出样例 输入 #1 
    复制
   3 4
2 2 1 2
2 2 1 1
3 2 1 2
 输出 #1 
    复制
   ......+---+---+...+---+
..+---+  /   /|../   /|
./   /|-+---+ |.+---+ |
+---+ |/   /| +-|   | +
|   | +---+ |/+---+ |/|
|   |/   /| +/   /|-+ |
+---+---+ |/+---+ |/| +
|   |   | +-|   | + |/.
|   |   |/  |   |/| +..
+---+---+---+---+ |/...
|   |   |   |   | +....
|   |   |   |   |/.....
+---+---+---+---+...... 说明/提示 NOIP2008普及组第四题","NOIp普及组
2008",8.79,5.67,0.65,普及/提高-,P1058
[NOIP2006普及组]明明的随机数," 
            明明想在学校中请一些同学一起做一项问卷调查，为了实验的客观性，他先用计算机生成了NNN个111到100010001000之间的随机整数(N≤100)(N≤100)(N≤100)，对于其中重复的数字，只保留一个，把其余相同的数去掉，不同的数对应着不同的学生的学号。然后再把这些数从小到大排序，按照排好的顺序去找同学做调查。请你协助明明完成“去重”与“排序”的工作。
 输入格式 输入有两行，第111行为111个正整数，表示所生成的随机数的个数NNN
第222行有NNN个用空格隔开的正整数，为所产生的随机数。
 输出格式 输出也是两行，第111行为111个正整数MMM，表示不相同的随机数的个数。
第222行为MMM个用空格隔开的正整数，为从小到大排好序的不相同的随机数。
  输入输出样例 输入 #1 
    复制
   10
20 40 32 67 40 20 89 300 400 15
 输出 #1 
    复制
   8
15 20 32 40 67 89 300 400
 说明/提示 NOIP 2006 普及组 第一题","NOIp普及组
2006",151.78,75.85,0.5,入门,P1059
[NOIP2006普及组]开心的金明," 
            金明今天很开心，家里购置的新房就要领钥匙了，新房里有一间他自己专用的很宽敞的房间。更让他高兴的是，妈妈昨天对他说：“你的房间需要购买哪些物品，怎么布置，你说了算，只要不超过NNN元钱就行”。今天一早金明就开始做预算，但是他想买的东西太多了，肯定会超过妈妈限定的NNN元。于是，他把每件物品规定了一个重要度，分为555等：用整数1−51-51−5表示，第555等最重要。他还从因特网上查到了每件物品的价格（都是整数元）。他希望在不超过NNN元（可以等于NNN元）的前提下，使每件物品的价格与重要度的乘积的总和最大。
设第jjj件物品的价格为v[j]v[j]v[j]，重要度为w[j]w[j]w[j]，共选中了kkk件物品，编号依次为j1,j2,…,jkj_1,j_2,…,j_kj1​,j2​,…,jk​，则所求的总和为：
v[j1]×w[j1]+v[j2]×w[j2]+…+v[jk]×w[jk]v[j_1] \times w[j_1]+v[j_2] \times w[j_2]+ …+v[j_k] \times w[j_k]v[j1​]×w[j1​]+v[j2​]×w[j2​]+…+v[jk​]×w[jk​]。
请你帮助金明设计一个满足要求的购物单。
 输入格式 第一行，为222个正整数，用一个空格隔开：n,mn,mn,m（其中N(<30000)N(<30000)N(<30000)表示总钱数，m(<25)m(<25)m(<25)为希望购买物品的个数。）
从第222行到第m+1m+1m+1行，第jjj行给出了编号为j−1j-1j−1的物品的基本数据，每行有222个非负整数vp v pvp（其中vvv表示该物品的价格(v≤10000)(v \le 10000)(v≤10000)，ppp表示该物品的重要度(1−51-51−5)
 输出格式 111个正整数，为不超过总钱数的物品的价格与重要度乘积的总和的最大值(<100000000)(<100000000)(<100000000)。
  输入输出样例 输入 #1 
    复制
   1000 5
800 2
400 5
300 5
400 3
200 2
 输出 #1 
    复制
   3900 说明/提示 NOIP 2006 普及组 第二题","NOIp普及组
2006",81.01,44.76,0.55,普及-,P1060
[NOIP2006普及组]Jam的计数法," 
            JamJamJam是个喜欢标新立异的科学怪人。他不使用阿拉伯数字计数，而是使用小写英文字母计数，他觉得这样做，会使世界更加丰富多彩。
在他的计数法中，每个数字的位数都是相同的（使用相同个数的字母），英文字母按原先的顺序，排在前面的字母小于排在它后面的字母。我们把这样的“数字”称为JamJamJam数字。在JamJamJam数字中，每个字母互不相同，而且从左到右是严格递增的。每次，JamJamJam还指定使用字母的范围，例如，从222到101010，表示只能使用b,c,d,e,f,g,h,i,j{b,c,d,e,f,g,h,i,j}b,c,d,e,f,g,h,i,j这些字母。如果再规定位数为555，那么，紧接在JamJamJam数字“bdfijbdfijbdfij”之后的数字应该是“bdghibdghibdghi”。（如果我们用UUU、VVV依次表示JamJamJam数字“bdfijbdfijbdfij”与“bdghibdghibdghi”，则U<VU<VU<V，且不存在JamJamJam数字PPP，使U<P<VU<P<VU<P<V）。
你的任务是：对于从文件读入的一个JamJamJam数字，按顺序输出紧接在后面的555个JamJamJam数字，如果后面没有那么多JamJamJam数字，那么有几个就输出几个。
 输入格式 共222行。
第111行为333个正整数，用一个空格隔开：stws t wstw
（其中sss为所使用的最小的字母的序号，ttt为所使用的最大的字母的序号。www为数字的位数，这333个数满足：1≤s<T≤26,2≤w≤t−s1≤s<T≤26, 2≤w≤t-s1≤s<T≤26,2≤w≤t−s ）
第222行为具有www个小写字母的字符串，为一个符合要求的JamJamJam数字。
所给的数据都是正确的，不必验证。
 输出格式 最多为555行，为紧接在输入的JamJamJam数字后面的555个JamJamJam数字，如果后面没有那么多JamJamJam数字，那么有几个就输出几个。每行只输出一个JamJamJam数字，是由www个小写字母组成的字符串，不要有多余的空格。
  输入输出样例 输入 #1 
    复制
     2 10 5
  bdfij
 输出 #1 
    复制
   bdghi
bdghj
bdgij
bdhij
befgh
 说明/提示 NOIP 2006 普及组 第三题","NOIp普及组
2006",8.61,5.26,0.61,普及/提高-,P1061
[NOIP2006普及组]数列," 
            给定一个正整数k(3≤k≤15)k(3≤k≤15)k(3≤k≤15),把所有k的方幂及所有有限个互不相等的k的方幂之和构成一个递增的序列，例如，当k=3k=3k=3时，这个序列是：
1,3,4,9,10,12,13,…1,3,4,9,10,12,13,…1,3,4,9,10,12,13,…
（该序列实际上就是：30,31,30+31,32,30+32,31+32,30+31+32,…3^0,3^1,3^0+3^1,3^2,3^0+3^2,3^1+3^2,3^0+3^1+3^2,…30,31,30+31,32,30+32,31+32,30+31+32,…）
请你求出这个序列的第NNN项的值（用101010进制数表示）。
例如，对于k=3k=3k=3，N=100N=100N=100，正确答案应该是981981981。
 输入格式 222个正整数，用一个空格隔开：
kNk NkN
（kkk、NNN的含义与上述的问题描述一致，且3≤k≤15,10≤N≤10003≤k≤15,10≤N≤10003≤k≤15,10≤N≤1000）。
 输出格式 111个正整数。（整数前不要有空格和其他符号）。
  输入输出样例 输入 #1 
    复制
     3 100 输出 #1 
    复制
   981 说明/提示 NOIP 2006 普及组 第四题","NOIp普及组
2006",19.26,10.26,0.53,普及/提高-,P1062
[NOIP2006提高组]能量项链," 
            在MarsMarsMars星球上，每个MarsMarsMars人都随身佩带着一串能量项链。在项链上有NNN颗能量珠。能量珠是一颗有头标记与尾标记的珠子，这些标记对应着某个正整数。并且，对于相邻的两颗珠子，前一颗珠子的尾标记一定等于后一颗珠子的头标记。因为只有这样，通过吸盘（吸盘是MarsMarsMars人吸收能量的一种器官）的作用，这两颗珠子才能聚合成一颗珠子，同时释放出可以被吸盘吸收的能量。如果前一颗能量珠的头标记为mmm，尾标记为rrr，后一颗能量珠的头标记为r，尾标记为nnn，则聚合后释放的能量为m×r×nm \times r \times nm×r×n（MarsMarsMars单位），新产生的珠子的头标记为mmm，尾标记为nnn。
需要时，MarsMarsMars人就用吸盘夹住相邻的两颗珠子，通过聚合得到能量，直到项链上只剩下一颗珠子为止。显然，不同的聚合顺序得到的总能量是不同的，请你设计一个聚合顺序，使一串项链释放出的总能量最大。
例如：设N=4N=4N=4，444颗珠子的头标记与尾标记依次为(2,3)(3,5)(5,10)(10,2)(2,3) (3,5) (5,10) (10,2)(2,3)(3,5)(5,10)(10,2)。我们用记号⊕表示两颗珠子的聚合操作，(jjj⊕kkk)表示第j,kj,kj,k两颗珠子聚合后所释放的能量。则第444、111两颗珠子聚合后释放的能量为：
(444⊕111)=10×2×3=60=10 \times 2 \times 3=60=10×2×3=60。
这一串项链可以得到最优值的一个聚合顺序所释放的总能量为：
((444⊕111)⊕222)⊕333）=10×2×3+10×3×5+10×5×10=71010 \times 2 \times 3+10 \times 3 \times 5+10 \times 5 \times 10=71010×2×3+10×3×5+10×5×10=710。
 输入格式 第一行是一个正整数N(4≤N≤100)N(4≤N≤100)N(4≤N≤100)，表示项链上珠子的个数。第二行是NNN个用空格隔开的正整数，所有的数均不超过100010001000。第iii个数为第iii颗珠子的头标记(1≤i≤N)(1≤i≤N)(1≤i≤N)，当i<Ni<Ni<N时，第iii颗珠子的尾标记应该等于第i+1i+1i+1颗珠子的头标记。第NNN颗珠子的尾标记应该等于第111颗珠子的头标记。
至于珠子的顺序，你可以这样确定：将项链放到桌面上，不要出现交叉，随意指定第一颗珠子，然后按顺时针方向确定其他珠子的顺序。
 输出格式 一个正整数E(E≤2.1×(10)9)E(E≤2.1 \times (10)^9)E(E≤2.1×(10)9)，为一个最优聚合顺序所释放的总能量。
  输入输出样例 输入 #1 
    复制
   4
2 3 5 10
 输出 #1 
    复制
   710 说明/提示 NOIP 2006 提高组 第一题","NOIp提高组
2006",38.17,20.65,0.54,普及+/提高,P1063
