user_id,user_sim_list
60,60 7415 5540 5540 5845 5071 1320 1320 1320 4004 44 44 6256 4523 4523 4523 3953 2703 2703 4254
61,61 61 4406 5551 6593 162 3293 5093 5093 4203 2504 2504 1749 1749 1749 4110 4110 2658 2658 2658
62,62 1843 1843 1843 1843 473 473 473 1720 4087 3968 3968 2288 2288 2288 2288 2288 2288 2288 2288
63,63 63 63 63 7058 3875 339 3415 3415 3278 4291 4291 4291 6965 6291 3270 3321 4451 4451 4451
64,64 64 3209 3209 209 4850 4850 4081 4001 1871 1657 4340 4395 4757 5658 1707 1707 1707 4011 4011
65,65 65 570 570 1576 1576 1576 2417 1504 1504 1504 1504 1504 1504 1504 1504 1504 5469 49 49
66,66 66 6331 3588 4103 5324 4376 1265 7147 6947 4974 1141 1141 1328 1328 1328 6138 6138 6138 428
67,67 3669 4769 4769 4769 3003 5129 6544 4073 6672 4000 6482 3717 7402 6185 5293 5293 5395 5569 6323
68,68 6864 999 5896 5243 5243 5243 6857 2148 3053 3053 275 5571 3357 3357 3357 3357 3357 3357 3357
69,69 69 6948 5284 5284 2868 2868 2868 1922 1922 1922 1922 1922 1922 3510 3510 6478 7103 662 662
70,70 70 70 70 6793 1824 3980 6535 1989 179 179 1382 1382 4379 5103 951 6818 4602 3985 59
71,71 1534 4690 3199 1832 3586 3586 5422 5119 5119 5368 5826 2579 2579 5742 4237 565 147 147 147
72,72 72 2555 2555 1658 1658 1658 3268 3268 3268 2116 1085 181 2122 2122 3736 3736 3736 3736 1494
73,73 4310 3298 6745 2924 6797 1915 4405 6787 2841 2841 5384 2970 6633 967 967 967 967 6571 7269
74,74 74 74 6014 3160 3160 3160 3160 7072 686 686 4709 4709 4709 6242 6711 6345 5866 392 2081
75,75 75 6052 2891 4776 5455 2172 1903 1903 2592 3051 5964 6255 6255 3156 5843 599 599 599 4579
76,76 76 2822 2822 2822 1385 1385 721 721 5764 589 589 4943 2996 2996 7060 3965 2366 2366 1876
77,77 77 2389 2389 2389 2371 2371 2371 2371 2371 2371 2371 2371 2371 2371 2371 2371 2371 2371 2371
78,78 4331 4331 4331 2571 4342 4342 2496 441 4854 4854 2404 4262 4635 4635 7239 1746 1888 1888 5829
79,79 5825 1608 1608 1947 867 7369 252 252 6710 6832 6673 1835 4668 4668 1624 4744 7391 228 1300
80,80 80 3535 6771 1638 1638 2575 5282 6670 1301 2162 4195 3349 6341 140 140 6140 5323 5323 5323
81,81 3103 2187 1177 4293 5490 5490 4531 1108 5049 5049 2019 2019 2019 2019 2019 2019 2019 1466 1466
82,82 82 864 864 864 4246 2976 6494 3614 1747 1656 5687 1109 5477 5477 3834 3834 6104 590 1714
83,83 6982 2348 2348 5716 7256 3146 4256 6220 6638 563 4377 4341 2235 3182 3182 1330 1330 1330 1330
84,84 4287 2106 1593 1289 1916 2194 1127 2301 766 766 766 900 900 900 900 607 4611 1287 6656
85,85 6801 6410 4979 356 2809 2809 2809 2809 2809 5428 5428 5460 2059 2345 5267 5267 1598 1598 366
86,86 86 4973 2787 2787 2787 3549 21 21 6463 948 4848 5088 5088 4328 4328 6474 3616 1809 1809
87,87 3865 2075 2075 4880 4990 1813 4436 3632 3632 3632 6058 4615 4615 4615 4615 7093 3307 3307 3307
88,88 88 1477 1477 5471 5471 5529 3755 2304 962 6767 5663 6296 5496 5496 6196 3719 3719 830 830
89,89 89 4594 4255 2043 2709 6743 2851 2851 6479 6022 5405 4318 1426 1426 1426 4799 4935 4935 4935
90,90 90 6760 6760 6275 6714 7305 5297 3147 3147 4785 4785 1242 2742 5688 310 310 310 310 7403
91,91 4837 4837 2668 747 747 747 747 747 747 747 747 747 747 747 747 4563 4563 4563 353
92,92 4819 5759 146 7450 282 2038 885 885 5726 4912 4912 3224 3835 3835 6976 3696 6675 5185 5185
93,93 93 93 93 3691 7118 3932 7052 245 4161 4040 6483 2774 2774 2774 0 0 6308 2986 4730
94,94 5303 7400 2522 3856 3856 3160 3160 3160 3160 6242 3639 3639 6697 6871 5707 5707 6719 4709 4709
95,95 3995 1641 2900 3070 4924 1973 1973 4180 5265 5597 1151 5767 7137 2412 2096 2096 3877 1183 1183
96,96 2661 2661 5971 5706 4153 3724 7021 6086 6149 1718 2665 2665 2665 2665 2665 5950 5372 5372 1879
97,97 97 97 97 97 1009 1009 1009 1009 1589 1589 1589 1589 1589 1589 1589 3484 3484 3484 3484
98,98 1609 6551 3092 3092 4889 6843 1188 829 829 7177 452 452 452 452 5741 308 1669 6654 6594
99,99 1934 1934 3080 1325 1325 5150 1573 1573 1573 1573 1362 6836 547 6247 5235 5235 3863 3863 6628
100,100 279 430 6365 1357 7223 6922 4678 4329 4329 1241 1765 1765 1765 5977 2806 103 103 3909 3909
101,101 4964 5169 1711 442 442 442 835 835 835 835 6711 1045 1437 1437 2081 7069 6144 7072 6866
102,102 2302 4503 1498 1721 2483 5822 4560 4560 3869 3869 4039 2744 1442 1442 1442 1442 1442 1442 6325
103,103 103 6365 4935 4935 4935 4678 2765 4318 2709 6236 5977 2043 6580 1426 1426 1426 1765 1765 1765
104,104 1310 1310 3449 7082 3395 3891 7262 2501 6180 6180 6180 6079 4813 5363 4918 7434 6279 2089 2089
105,105 105 2172 3821 1156 1156 4083 6687 6239 6811 5964 3454 6018 1903 1903 1132 1132 2743 2743 4374
106,106 106 4992 3196 7053 4414 7300 2131 2131 6046 1980 6278 1665 1665 5559 5308 4084 4084 3309 1806
107,107 107 4402 329 542 4380 4380 6024 1157 1520 1520 1520 1520 1520 1520 325 5806 398 398 398
108,108 108 1079 1079 175 2409 4005 4005 5965 6231 1695 1695 1801 1801 7245 1044 1044 1044 1044 1044
109,109 109 4394 2783 258 5827 5827 5827 6262 1321 1321 1321 4235 2258 7153 7314 361 3359 3359 3359
110,110 110 5246 5246 1380 1380 1380 2584 1917 7122 5890 5697 2971 6040 1307 1307 1307 3633 3633 3633
111,111 111 5904 2247 4485 4485 6151 2231 2231 2231 2231 4483 912 912 5209 5209 386 386 5390 5390
112,112 112 4732 4311 6202 6202 6202 6202 6884 4984 2757 2757 2757 2757 2757 2757 2757 2757 2757 7298
113,113 5348 3626 3626 5594 5252 568 568 193 6885 4302 6555 367 367 367 1544 1544 1544 1544 1544
114,114 114 6422 5379 3084 3084 4714 4023 4023 2866 5582 6863 1279 1279 1279 151 151 1384 1384 4168
115,115 115 115 1763 293 827 827 3027 3027 6942 6942 423 4917 4917 5745 2864 125 125 125 2688
116,116 116 116 3354 3633 3633 3633 3633 3633 5697 6546 671 671 671 671 671 671 2151 2151 2151
117,117 3181 7312 6427 6427 4435 6303 3520 6892 5797 5797 2222 7392 1826 1826 4290 4290 7404 7170 5859
118,118 118 118 5054 5054 779 779 1733 5406 1645 1645 5421 1585 1276 7345 1799 1799 1799 1799 1799
119,119 1142 1142 1142 3861 3861 5620 2733 2733 5596 5596 5596 5596 5596 4923 3707 722 722 4303 2577
120,120 120 120 120 6742 3403 1383 1383 860 860 4760 4760 915 4664 3294 3294 689 689 689 3256
121,121 2473 1111 3871 3871 4822 1476 413 2021 2021 2021 2021 6343 5588 1126 1126 1126 4119 4655 815
122,122 6161 4744 228 7369 3373 3373 3373 853 6673 6592 252 252 1835 5914 5914 6710 1389 1389 79
123,123 123 123 123 7307 2166 3176 6114 2641 2641 866 3386 3960 3960 3960 3960 3960 3960 1187 1187
124,124 124 2610 6525 5312 6076 5695 1939 1939 1939 5678 7337 3174 3174 631 631 6536 2369 2369 4821
125,125 125 125 5745 3027 3027 1597 1597 1597 1597 1597 2864 5400 115 115 115 827 827 2688 5424
126,126 1401 1401 1401 3082 7405 5201 5201 1474 1474 1474 1474 1474 182 3538 6940 6257 6285 330 2333
127,127 5520 2195 3364 988 988 988 3574 3642 397 397 397 1816 1816 1816 1816 1816 1816 1709 1709
128,128 128 3979 5094 4547 4547 4132 6495 2088 2088 5843 6186 6163 715 4896 961 4908 4579 2336 2336
129,129 6968 4843 7289 820 4455 4374 4374 6417 1077 5128 5128 1903 1903 1908 7168 4083 4908 5681 6186
130,130 130 130 130 5993 5993 225 1878 1878 1878 909 4226 4226 619 619 3489 2519 2002 2002 2002
131,131 4748 2528 2528 6755 6755 6755 324 324 324 324 324 1333 1333 6166 4914 4914 4914 4807 5022
132,132 132 6516 6516 2594 2594 2723 3981 7175 5168 6975 1373 1373 1373 4198 2533 2533 7120 3676 3598
133,133 133 4008 5064 1322 1322 1322 5497 851 851 6889 6112 5513 7079 2359 2359 2359 1118 1118 1118
134,134 134 134 3954 3954 3954 206 4722 1339 1339 1339 1339 1339 1339 3056 4524 4901 5163 421 5735
135,135 135 135 1759 5309 6557 5507 6160 5059 444 444 5387 5623 4029 4029 4029 450 1126 1126 1126
136,136 136 136 1703 331 331 331 331 331 331 331 331 1981 1981 1981 1981 1981 1981 1981 1981
137,137 173 4459 1577 1577 1577 1577 1577 1577 1577 1577 1577 1577 1577 1577 1577 1577 1577 1577 1577
138,138 138 169 169 169 169 1393 1393 758 758 758 2682 2682 2682 2682 2682 2682 2682 2682 2682
139,139 1136 1136 1136 998 998 998 7380 5544 1090 2909 1992 1992 6147 6292 5933 868 3163 5545 4053
140,140 140 6140 3912 1449 6670 3535 2575 2361 2361 2361 2162 6771 1638 1638 3349 80 80 1 1014
141,141 141 4167 3380 4909 4909 2914 5497 1118 1118 1118 1118 1118 1118 3324 3226 7079 2433 879 6195
142,142 142 2737 3809 4229 365 6821 5291 5291 772 6137 6137 2125 2125 2125 3420 3060 4516 4516 5576
143,143 143 143 143 143 3845 3845 3845 1089 4353 6915 6915 5401 6841 7284 3555 5392 7304 6150 5867
144,144 7076 5597 7340 6188 5767 5605 5605 4924 5198 6050 552 552 1973 1973 2437 3776 1641 1897 5590
145,145 2167 4683 208 253 6581 2535 3970 315 2381 5174 5174 5174 3217 4077 5427 6364 1924 1924 1924
146,146 282 7450 5185 5185 92 4819 5726 5728 5728 5728 3528 4912 4912 5759 6083 6083 2672 2672 6976
147,147 147 147 1832 5119 5119 7385 5872 6253 1534 2117 5368 3899 3586 3586 6875 71 3469 3469 1488
148,148 148 148 6683 4669 3328 3328 5976 302 302 3696 2107 4797 5786 2952 7427 4305 3079 3713 2064
149,149 3901 3901 3901 1875 1875 1875 1875 1875 2589 4449 4449 7143 2025 6249 1084 1084 3365 3365 3365
150,150 6195 3226 3324 6574 571 2914 3292 3292 3292 4167 822 822 822 822 6386 6386 1919 6112 1118
151,151 151 4168 469 469 469 469 4295 4295 4478 4983 4052 32 7372 3596 3596 2603 9 9 9
152,152 6815 3737 5439 1648 5060 7342 4907 4907 1952 1952 1952 7455 178 2701 5569 6051 3587 3587 6185
153,153 153 3446 3446 1480 7036 7304 5647 5401 7020 6937 3555 1129 2403 2403 2403 6841 4353 6150 3041
154,154 5673 833 6282 5057 5128 5128 2331 2331 2331 2331 2331 2331 6302 1908 4455 6968 3138 3138 129
155,155 1174 229 363 4188 6754 7156 6423 3282 2790 2790 2790 2790 2790 2790 2790 2790 4397 4397 7268
156,156 727 4804 4804 7246 6919 1159 2837 5365 2998 6328 7266 1329 2447 2447 1106 236 6652 1586 1586
157,157 406 5960 3355 3355 3355 3355 1375 1375 1375 996 996 6849 2728 2625 4043 2802 1261 1261 1084
158,158 158 4596 4555 4555 4555 4555 6842 6897 6469 3453 6726 3990 3498 6498 6498 2704 3910 3910 3910
159,159 159 2874 522 3829 3829 3829 3829 3829 3829 4975 1003 3367 3367 3338 3338 3338 3338 2832 2832
160,160 4774 4774 3317 658 658 658 7081 5189 5189 5189 5189 4546 4546 1319 6817 2960 2960 6248 7231
161,161 5249 4017 4064 7444 4905 6997 855 855 855 855 5813 4178 1999 1999 1999 1999 1999 1999 6155
162,162 6593 5551 4110 4110 61 61 4406 2593 2593 4272 4203 975 2504 2504 3293 5093 5093 2503 1204
163,163 163 2612 2612 2612 2612 354 354 354 354 354 354 354 354 2934 2934 2934 2934 5737 4179
164,164 2037 4917 4917 1763 879 2595 293 115 115 115 423 4407 5400 6942 6942 5745 4339 2688 2128
165,165 281 5835 3801 6498 6498 7453 4456 4456 3367 3367 6066 5975 3498 4555 4555 4555 4555 338 338
166,166 3492 1246 2767 2767 2767 5924 573 573 573 573 573 3959 3959 2330 2330 2896 2896 7303 470
167,167 167 6107 3256 2513 2513 2513 2513 2513 915 6413 3294 3294 1525 1525 1525 1525 2721 874 311
168,168 7183 2991 2991 2991 2991 4763 4763 7302 3832 3832 5030 112 112 2666 4732 738 738 738 6243
169,169 169 169 169 2574 138 138 2858 758 758 758 2320 2320 2320 2320 2320 6959 943 943 6109
170,170 6568 6434 6148 3044 2590 2213 4953 811 811 3034 5452 1411 1411 1411 6914 6914 1771 1203 7119
171,171 2418 5718 2450 3295 7445 1644 1644 1644 1644 1644 5393 5393 6203 1223 1223 2484 2484 2484 553
172,172 3351 3090 3000 1840 4553 3781 3781 3781 7227 1143 1143 1885 1885 1885 1885 6357 3782 6277 6277
173,173 4459 137 2635 2635 2635 2635 2635 3945 6921 1969 1969 1969 2509 7013 2686 2686 2686 2686 2686
174,174 174 7331 1738 4063 3471 390 390 3462 3462 4162 6344 4072 3127 4166 2174 2035 2736 7100 2022
175,175 1079 1079 108 108 6588 5870 5870 5870 5870 5870 4005 4005 2761 4834 4834 4834 5965 1695 1695
176,176 4285 4285 4191 3685 3685 7321 1788 5366 6706 246 2266 2266 6627 1662 7417 6592 836 836 3787
177,177 3822 4214 6416 5453 3107 3578 22 1440 1440 1440 1705 5650 5945 5956 5107 4126 4126 2628 2628
178,178 5060 5372 5372 6815 1718 4153 7342 152 3737 2701 6189 5569 3724 6185 773 5771 7021 3957 3957
179,179 179 70 70 70 70 1124 6818 6793 3204 4379 3980 4602 1824 504 504 1989 1604 1604 7362
180,180 1286 1286 1286 1286 3242 7424 1412 1412 2665 2665 2665 2665 2665 1008 1008 5299 5091 4033 4033
181,181 2122 2122 2576 2576 2576 1494 1494 1494 774 774 774 774 774 774 774 72 72 2555 2555
182,182 2333 2333 1401 1401 1401 4653 330 5201 5201 4375 126 6664 1474 1474 1474 1474 1474 2696 3082
183,183 2947 490 490 6464 3739 2715 2715 935 2962 1082 1082 6027 965 3925 4213 3897 3897 3897 3897
184,184 184 184 3089 4097 4097 4529 3941 7016 6620 1518 2199 538 538 6415 6415 5962 2237 5009 2209
185,185 4671 4671 4288 4288 4288 3012 3012 6169 2835 1452 1452 1452 7395 3358 676 1543 1543 1543 5735
186,186 3700 5371 927 927 927 927 927 5225 3416 296 1618 1618 1618 1618 845 4959 7398 3166 1687
187,187 187 187 2056 6436 3488 6988 4115 4115 5959 1233 5193 5193 2611 2611 2611 6738 1011 1011 3796
188,188 188 4789 2079 2079 2079 857 3714 2779 2779 2779 2779 7189 813 813 813 5062 6224 6224 4627
189,189 6938 2251 2251 2251 2033 2033 1296 3947 2160 2160 2160 2160 7230 6695 481 2472 2472 4460 5125
190,190 6704 2751 1862 3493 3493 3493 3493 3493 3493 1929 5279 5279 5808 5808 5321 3373 3373 3373 6739
191,191 191 191 191 3184 1514 1514 1514 1514 1514 1514 1514 1514 1514 1514 1514 1514 1514 7124 3418
192,192 6709 6709 5311 3378 3378 3378 4323 3705 1725 598 598 598 598 598 4759 512 512 512 408
193,193 4302 568 568 3626 3626 5252 5864 1896 5594 270 6839 5541 6555 5114 5348 5973 3564 6885 374
194,194 1797 2846 4551 4651 3193 7425 4254 5619 3483 3483 3483 6256 1433 1433 1433 7359 4157 2828 44
195,195 7221 6889 6153 5513 5064 3787 2699 2699 38 38 38 2266 2266 351 3442 4751 4751 851 851
196,196 1015 460 3022 4243 4325 6206 2339 2339 2339 2339 5539 235 2324 2324 2324 906 7094 4583 2530
197,197 197 6290 6290 6290 3428 6558 4589 5154 3187 3187 6396 3289 2700 2700 2700 590 480 7428 10
198,198 2532 2532 2490 5595 5595 6125 6125 5182 4201 4913 6813 786 4580 5772 5639 5639 5791 2825 2825
199,199 6420 2285 6119 3043 3043 6779 6779 5836 5411 5411 435 3227 3227 1948 1007 5115 5028 5785 3953
200,200 3142 1061 1061 1061 1061 3158 2417 2564 2564 7286 7410 4067 2567 2567 49 49 49 6556 6556
201,201 2752 7345 3197 3197 1585 1640 1640 1640 1640 1640 1640 3014 3014 3014 3014 2073 1799 1799 1799
202,202 4496 2840 850 1673 1673 1673 1673 1673 1673 1673 1673 1673 1673 1493 1493 1493 1493 3541 3814
203,203 203 203 203 3120 3120 2746 2746 2746 3146 3517 4341 5958 6220 4377 2348 2348 6183 5716 2647
204,204 3718 2330 2330 3991 3991 5753 1786 1786 1786 1786 1786 1786 573 573 573 573 573 7165 7165
205,205 205 51 51 2492 2492 3037 6658 4101 3736 3736 3736 3736 825 825 825 4373 3721 1085 2322
206,206 4524 3954 3954 3954 4722 134 134 134 4641 1339 1339 1339 1339 1339 1339 1001 3012 3012 524
207,207 678 4469 791 791 14 14 1676 4499 4499 7121 4591 4591 1338 1338 1338 3029 4540 1554 5522
208,208 315 145 6581 3970 253 4683 2104 3217 2535 2167 3229 6364 2773 283 2381 6995 4592 4592 4592
209,209 64 64 3209 3209 4850 4850 4081 1657 4001 4395 1871 4757 2739 2739 641 5127 4340 5658 7375
210,210 2635 2635 2635 2635 2635 503 3860 7271 5029 3276 3276 3276 6146 2686 2686 2686 2686 2686 2686
211,211 211 211 211 211 3061 3061 3061 4251 1848 3035 1730 1730 5788 5387 4873 4352 4352 444 444
212,212 3465 1757 355 6727 4644 4644 5805 2449 3347 3347 4712 818 4137 2920 4501 4501 4164 6840 335
213,213 556 556 556 4194 5208 5208 2867 2867 2867 4266 2756 2756 5881 1643 1643 1643 1643 1643 1643
214,214 3545 3545 5913 5913 2343 2343 2343 6006 1409 1409 1409 6088 4458 4458 4458 5361 5361 6393 6393
215,215 1533 4839 4077 1405 1405 1405 5821 6648 4074 4780 6822 1924 1924 1924 2992 5005 2042 6056 5672
216,216 317 5105 3434 3434 3394 3305 940 7430 2352 657 657 657 657 657 1704 2928 2928 3264 1555
217,217 217 217 5135 5135 886 886 1642 6108 7224 4634 2869 4204 5809 882 5339 7184 1083 3537 7343
218,218 5040 1583 2024 1034 1034 7010 5795 2058 2058 4209 2561 497 497 558 558 5629 4703 3893 2680
219,219 6554 2384 1625 4280 4280 1737 1553 972 5563 694 576 576 576 576 3054 5754 2798 2798 5026
220,220 2034 2034 5766 2272 887 224 5329 530 530 3185 3538 2177 2177 5220 5220 2491 2491 7405 6285
221,221 5886 1683 2495 2495 2495 6060 6060 2753 2753 2753 3023 2515 6445 2969 1017 6684 1297 7315 264
222,222 2578 5016 4628 487 4659 1627 4679 1958 1958 1958 1958 1958 3553 1444 1444 1444 1444 1444 1444
223,223 2763 4257 2565 2565 2565 1195 2471 2471 2448 2448 2448 2448 2448 2448 2448 2448 3789 3789 3789
224,224 5766 2272 3185 220 2034 2034 4826 5329 530 530 3538 887 993 993 6 6059 1545 1545 6285
225,225 130 130 130 130 4226 4226 1878 1878 1878 619 619 909 5993 5993 2002 2002 2002 2002 2002
226,226 3886 3886 7119 3044 1771 6960 2590 3077 2097 5452 1411 1411 1411 170 5055 5247 4482 2105 3258
227,227 2554 6438 3108 4764 4736 5516 5516 6294 7389 3619 3619 3619 3619 1938 1938 5237 5237 5237 527
228,228 1835 122 4744 7391 2241 2241 2241 252 252 79 7369 4289 4289 4289 5825 6161 6673 1608 1608
229,229 155 363 6754 1174 7156 6423 3282 4188 4397 4397 2790 2790 2790 2790 2790 2790 2790 2790 7268
230,230 230 1654 1328 1328 1328 4376 6331 4306 4511 3238 1578 3902 3902 1265 66 66 4974 4717 6138
231,231 3757 4694 5720 1101 5713 3594 6775 1051 1031 1031 2687 2687 2687 2687 2687 2687 4491 4491 4491
232,232 1774 1774 7218 7384 1433 1433 1433 3760 2354 2354 7359 4673 5619 3953 4651 1948 2296 4841 6420
233,233 751 751 751 751 751 751 751 751 751 751 751 751 751 751 5017 2847 592 592 592
234,234 3961 4631 2757 2757 2757 2757 2757 2757 2757 2757 2757 3983 3983 2256 7298 1527 1527 3938 4732
235,235 4243 4223 4957 3179 6261 2324 2324 2324 196 5539 6021 7094 906 4608 4608 4521 7335 5979 3662
236,236 5365 7246 4557 727 156 2447 2447 6919 1159 2837 4804 4804 6674 7346 4949 7266 2321 3682 6328
237,237 3944 3944 1574 1574 1574 1574 1574 1574 7126 1715 2280 2280 2280 577 5570 6254 3797 3797 3797
238,238 6165 4152 3750 5139 4028 4322 4322 6639 2668 6216 2210 543 543 543 543 4994 4584 717 717
239,239 5020 1228 4094 4094 2046 2046 2046 2046 2046 2046 2046 2046 2046 1035 7070 2061 2035 2144 5338
240,240 41 41 5876 1362 690 690 7347 6730 3863 3863 3743 1567 1567 3287 3287 7309 2077 2904 3615
241,241 5264 5264 2968 2968 2968 5862 367 367 367 767 6555 6729 372 372 5925 5925 5925 3777 3777
242,242 6110 3223 6625 3870 399 399 7091 2670 7419 3800 3800 6177 7334 1701 1943 1943 1943 5636 850
