user_id,user_embedding
39,"[0.01762235350906849, 0.0, 0.47936931252479553, 0.11249175667762756, 0.2636388838291168, 0.1632738709449768, 0.3219490051269531, 0.0]"
40,"[0.01762225851416588, 0.0, 0.5309731960296631, 0.10444163531064987, 0.26421478390693665, 0.16364401578903198, 0.24202200770378113, 0.0]"
41,"[0.017622821033000946, 0.0, 0.3679979741573334, 0.12322650849819183, 0.25919485092163086, 0.16222447156906128, 0.41627007722854614, 0.0]"
42,"[0.017619233578443527, 0.0, 1.182496190071106, 0.06509965658187866, 0.3047018051147461, 0.16987860202789307, 0.02714623510837555, 0.0]"
43,"[0.01762308180332184, 0.0, 0.3119651675224304, 0.13020563125610352, 0.25783196091651917, 0.16163407266139984, 0.4807819128036499, 0.0]"
44,"[0.01762249320745468, 0.0, 0.45147326588630676, 0.11438769102096558, 0.2622750699520111, 0.1630670428276062, 0.33883804082870483, 0.0]"
45,"[0.01762312464416027, 0.0, 0.3006276786327362, 0.13162441551685333, 0.2573302686214447, 0.16153483092784882, 0.49766117334365845, 0.0]"
46,"[0.0176235344260931, 0.0, 0.0, 0.38506391644477844, 0.3504510521888733, 0.1568654179573059, 3.7252418994903564, 0.0]"
47,"[0.017622530460357666, 0.0, 0.4576837718486786, 0.11272264271974564, 0.2619456648826599, 0.16306172311306, 0.31719186902046204, 0.0]"
48,"[0.017623208463191986, 0.0, 0.2830575704574585, 0.1309165209531784, 0.2553829252719879, 0.16133971512317657, 0.47658276557922363, 0.0]"
49,"[0.01762283220887184, 0.0, 0.37405210733413696, 0.12439847737550735, 0.2605341374874115, 0.16224387288093567, 0.43475526571273804, 0.0]"
50,"[0.017622891813516617, 0.0, 0.36094212532043457, 0.12227556109428406, 0.2581294775009155, 0.16215962171554565, 0.40121763944625854, 0.0]"
51,"[0.017622962594032288, 0.0, 0.3421006202697754, 0.12406027317047119, 0.25715747475624084, 0.1619807779788971, 0.41556891798973083, 0.0]"
52,"[0.017622780054807663, 0.0, 0.3996546268463135, 0.11935005336999893, 0.26036185026168823, 0.16253668069839478, 0.3813689351081848, 0.0]"
53,"[0.017623629420995712, 0.0, 0.07253687083721161, 0.19519302248954773, 0.273094117641449, 0.15960897505283356, 1.2667192220687866, 0.0]"
54,"[0.01761905662715435, 0.0, 1.2241629362106323, 0.06292401254177094, 0.30734190344810486, 0.17017081379890442, 0.019629240036010742, 0.0]"
55,"[0.01762363314628601, 0.0, 0.07933233678340912, 0.19021616876125336, 0.2709559202194214, 0.15966184437274933, 1.2008426189422607, 0.0]"
56,"[0.017623625695705414, 0.0, 0.0513429194688797, 0.2048737108707428, 0.27703869342803955, 0.15950389206409454, 1.3897464275360107, 0.0]"
57,"[0.017622731626033783, 0.0, 0.39808815717697144, 0.12116167694330215, 0.26108893752098083, 0.16259120404720306, 0.40394777059555054, 0.0]"
58,"[0.017622588202357292, 0.0, 0.42609384655952454, 0.1177116110920906, 0.2616150975227356, 0.16276492178440094, 0.3727111518383026, 0.0]"
59,"[0.01762254722416401, 0.0, 0.44669443368911743, 0.11473165452480316, 0.2619900703430176, 0.16309140622615814, 0.337665855884552, 0.0]"
60,"[0.017622848972678185, 0.0, 0.34066855907440186, 0.12839704751968384, 0.25942128896713257, 0.16201148927211761, 0.4744529128074646, 0.0]"
61,"[0.01762298494577408, 0.0, 0.3433864116668701, 0.12471997737884521, 0.25785523653030396, 0.16201245784759521, 0.4234057068824768, 0.0]"
62,"[0.01762276515364647, 0.0, 0.40227025747299194, 0.11761680245399475, 0.25919365882873535, 0.16261069476604462, 0.35701292753219604, 0.0]"
63,"[0.017622971907258034, 0.0, 0.31391462683677673, 0.13188143074512482, 0.2590360939502716, 0.16181115806102753, 0.5111349821090698, 0.0]"
64,"[0.017618099227547646, 0.0, 1.434441089630127, 0.05257728695869446, 0.3220974802970886, 0.17210491001605988, 0.0, 0.0]"
65,"[0.017622660845518112, 0.0, 0.4238309860229492, 0.11607825756072998, 0.2607017755508423, 0.16270200908184052, 0.3479694724082947, 0.0]"
66,"[0.017622560262680054, 0.0, 0.43171271681785583, 0.11666832119226456, 0.2615867257118225, 0.1629064977169037, 0.35758912563323975, 0.0]"
67,"[0.017622636631131172, 0.0, 0.4016379117965698, 0.12384998798370361, 0.2625936269760132, 0.1625843346118927, 0.44028323888778687, 0.0]"
68,"[0.01762296073138714, 0.0, 0.3331634998321533, 0.1276344358921051, 0.25828683376312256, 0.1619420051574707, 0.4591418504714966, 0.0]"
69,"[0.017619498074054718, 0.0, 1.1548110246658325, 0.06613118946552277, 0.3027896583080292, 0.1695043295621872, 0.027954384684562683, 0.0]"
70,"[0.017623528838157654, 0.0, 0.21369975805282593, 0.13833437860012054, 0.2529621124267578, 0.1607893854379654, 0.5475629568099976, 0.0]"
71,"[0.017622655257582664, 0.0, 0.3983403444290161, 0.11939592659473419, 0.25971856713294983, 0.16235554218292236, 0.3785204589366913, 0.0]"
72,"[0.017622608691453934, 0.0, 0.4092099368572235, 0.11871490627527237, 0.26045772433280945, 0.16259393095970154, 0.37439391016960144, 0.0]"
73,"[0.017622338607907295, 0.0, 0.48036980628967285, 0.11205586045980453, 0.26366284489631653, 0.1633245050907135, 0.32071125507354736, 0.0]"
74,"[0.01762240007519722, 0.0, 0.48294222354888916, 0.1116805151104927, 0.2632668912410736, 0.16323034465312958, 0.3133307695388794, 0.0]"
75,"[0.01762276701629162, 0.0, 0.38909292221069336, 0.11963886767625809, 0.2590782940387726, 0.16241730749607086, 0.3771454095840454, 0.0]"
76,"[0.017622528597712517, 0.0, 0.4620819687843323, 0.1135282889008522, 0.26252681016921997, 0.16312414407730103, 0.3289448618888855, 0.0]"
77,"[0.017622701823711395, 0.0, 0.40760475397109985, 0.11908426135778427, 0.26070544123649597, 0.16257381439208984, 0.37856626510620117, 0.0]"
78,"[0.01762300543487072, 0.0, 0.32445207238197327, 0.1277298927307129, 0.2578403055667877, 0.1618606448173523, 0.45717811584472656, 0.0]"
79,"[0.017623411491513252, 0.0, 0.21446755528450012, 0.1412985473871231, 0.2546946108341217, 0.160761296749115, 0.5880076289176941, 0.0]"
80,"[0.017622746527194977, 0.0, 0.40608614683151245, 0.11637642979621887, 0.25882869958877563, 0.16258534789085388, 0.3381785452365875, 0.0]"
81,"[0.017618993297219276, 0.0, 1.23170006275177, 0.06259647011756897, 0.307903915643692, 0.170247420668602, 0.018954381346702576, 0.0]"
82,"[0.01762300543487072, 0.0, 0.3183482885360718, 0.12823709845542908, 0.25712162256240845, 0.161766916513443, 0.4588910937309265, 0.0]"
83,"[0.017622865736484528, 0.0, 0.3722344934940338, 0.12114690244197845, 0.2584138512611389, 0.16228310763835907, 0.3890264928340912, 0.0]"
84,"[0.017622677609324455, 0.0, 0.4045183062553406, 0.12030181288719177, 0.26089954376220703, 0.16247695684432983, 0.39280030131340027, 0.0]"
85,"[0.01761900633573532, 0.0, 1.2467583417892456, 0.06186353787779808, 0.3090839385986328, 0.17040246725082397, 0.016686812043190002, 0.0]"
86,"[0.017622482031583786, 0.0, 0.45198696851730347, 0.11682439595460892, 0.2634155750274658, 0.163035586476326, 0.36587443947792053, 0.0]"
87,"[0.017622731626033783, 0.0, 0.3851214647293091, 0.12238341569900513, 0.26039764285087585, 0.16236011683940887, 0.4121258854866028, 0.0]"
88,"[0.01762307994067669, 0.0, 0.3234565258026123, 0.12687142193317413, 0.257220596075058, 0.16177161037921906, 0.4455524682998657, 0.0]"
89,"[0.017622528597712517, 0.0, 0.45124176144599915, 0.11493857204914093, 0.2621277868747711, 0.16292521357536316, 0.33870401978492737, 0.0]"
90,"[0.017622483894228935, 0.0, 0.458207905292511, 0.11454759538173676, 0.2629871666431427, 0.16302910447120667, 0.34320271015167236, 0.0]"
91,"[0.017622865736484528, 0.0, 0.35209739208221436, 0.12487858533859253, 0.25849491357803345, 0.16207608580589294, 0.43055224418640137, 0.0]"
92,"[0.017622530460357666, 0.0, 0.4719682037830353, 0.11093676090240479, 0.2623051404953003, 0.1632234901189804, 0.3020394444465637, 0.0]"
93,"[0.01762264594435692, 0.0, 0.41199302673339844, 0.11992446333169937, 0.26151078939437866, 0.1625708043575287, 0.3928499221801758, 0.0]"
94,"[0.01762239821255207, 0.0, 0.4663791060447693, 0.11211604624986649, 0.26213622093200684, 0.16307291388511658, 0.3150949478149414, 0.0]"
95,"[0.017622821033000946, 0.0, 0.3746120035648346, 0.1229550912976265, 0.2595749795436859, 0.16229604184627533, 0.4180859327316284, 0.0]"
96,"[0.017622370272874832, 0.0, 0.4821586608886719, 0.111546091735363, 0.26355212926864624, 0.16324427723884583, 0.31518739461898804, 0.0]"
97,"[0.017623228952288628, 0.0, 0.2849644720554352, 0.1335684359073639, 0.25721651315689087, 0.16142332553863525, 0.5178501009941101, 0.0]"
98,"[0.017623035237193108, 0.0, 0.3388174772262573, 0.12644654512405396, 0.25840964913368225, 0.16191250085830688, 0.44549620151519775, 0.0]"
99,"[0.017623065039515495, 0.0, 0.3038131892681122, 0.12935107946395874, 0.25629833340644836, 0.1615736335515976, 0.47086507081985474, 0.0]"
100,"[0.01762276329100132, 0.0, 0.36876580119132996, 0.1225680485367775, 0.25873813033103943, 0.16227659583091736, 0.4092539846897125, 0.0]"
101,"[0.0176225658506155, 0.0, 0.43346166610717773, 0.11689002066850662, 0.26184991002082825, 0.16283391416072845, 0.3622971475124359, 0.0]"
102,"[0.01762254536151886, 0.0, 0.4312440752983093, 0.11455060541629791, 0.26025256514549255, 0.162769615650177, 0.32774847745895386, 0.0]"
103,"[0.017623119056224823, 0.0, 0.3224175274372101, 0.1292453408241272, 0.2584381699562073, 0.1617668867111206, 0.476837694644928, 0.0]"
104,"[0.017622778192162514, 0.0, 0.37219735980033875, 0.12092536687850952, 0.2579525411128998, 0.16219738125801086, 0.3845077157020569, 0.0]"
105,"[0.017622699961066246, 0.0, 0.3922215700149536, 0.12154147028923035, 0.26050880551338196, 0.16245785355567932, 0.4047963619232178, 0.0]"
106,"[0.01762363500893116, 0.0, 0.08841407299041748, 0.18623551726341248, 0.269497811794281, 0.1597597599029541, 1.1513704061508179, 0.0]"
107,"[0.017622575163841248, 0.0, 0.4432428479194641, 0.11626962572336197, 0.26252076029777527, 0.16295768320560455, 0.3576265275478363, 0.0]"
108,"[0.01762254908680916, 0.0, 0.4349043369293213, 0.11556180566549301, 0.26112329959869385, 0.16279220581054688, 0.3452955484390259, 0.0]"
109,"[0.017623627558350563, 0.0, 0.061694055795669556, 0.19954335689544678, 0.2747034430503845, 0.15953727066516876, 1.32176673412323, 0.0]"
110,"[0.017622781917452812, 0.0, 0.386327862739563, 0.12087801843881607, 0.2593182623386383, 0.16233474016189575, 0.38947999477386475, 0.0]"
111,"[0.017622824758291245, 0.0, 0.3795192539691925, 0.12216982990503311, 0.2599307894706726, 0.16223931312561035, 0.4099285900592804, 0.0]"
112,"[0.01761925406754017, 0.0, 1.1983273029327393, 0.06411749124526978, 0.30571383237838745, 0.1698872298002243, 0.022386878728866577, 0.0]"
113,"[0.01762322150170803, 0.0, 0.26344892382621765, 0.13717105984687805, 0.25734004378318787, 0.16136129200458527, 0.5572507381439209, 0.0]"
114,"[0.017623625695705414, 0.0, 0.0513714998960495, 0.20446038246154785, 0.27695196866989136, 0.1595492959022522, 1.3914127349853516, 0.0]"
115,"[0.01762251742184162, 0.0, 0.4447813630104065, 0.11583197861909866, 0.26253947615623474, 0.1629946529865265, 0.35586804151535034, 0.0]"
116,"[0.017622098326683044, 0.0, 0.533902645111084, 0.10731576383113861, 0.26595979928970337, 0.16372844576835632, 0.2789340019226074, 0.0]"
117,"[0.0176226906478405, 0.0, 0.39023470878601074, 0.12193518131971359, 0.26060357689857483, 0.1625763326883316, 0.4096304476261139, 0.0]"
118,"[0.017622627317905426, 0.0, 0.42612478137016296, 0.11702901124954224, 0.261139839887619, 0.16282539069652557, 0.36103397607803345, 0.0]"
119,"[0.017622482031583786, 0.0, 0.43565648794174194, 0.11707521975040436, 0.2621467709541321, 0.16286857426166534, 0.36742594838142395, 0.0]"
120,"[0.017618846148252487, 0.0, 1.2900855541229248, 0.05952555313706398, 0.3121837377548218, 0.17080098390579224, 0.007135763764381409, 0.0]"
121,"[0.01762257143855095, 0.0, 0.4445267915725708, 0.11610578000545502, 0.26260364055633545, 0.1629762351512909, 0.3571344316005707, 0.0]"
122,"[0.017622850835323334, 0.0, 0.3791065216064453, 0.12138454616069794, 0.2592458128929138, 0.16237656772136688, 0.39587414264678955, 0.0]"
123,"[0.01762363314628601, 0.0, 0.08197619020938873, 0.18937569856643677, 0.27055972814559937, 0.15971852838993073, 1.1927696466445923, 0.0]"
124,"[0.01762329414486885, 0.0, 0.24374225735664368, 0.13666962087154388, 0.2551208734512329, 0.16109733283519745, 0.5425843596458435, 0.0]"
125,"[0.017622925341129303, 0.0, 0.35789769887924194, 0.12299013882875443, 0.25797680020332336, 0.1620735228061676, 0.40772736072540283, 0.0]"
126,"[0.017622776329517365, 0.0, 0.38763490319252014, 0.12293125689029694, 0.26103705167770386, 0.16241085529327393, 0.42119699716567993, 0.0]"
127,"[0.017622722312808037, 0.0, 0.39694616198539734, 0.11945203691720963, 0.2596847414970398, 0.16247016191482544, 0.3726928234100342, 0.0]"
128,"[0.017619207501411438, 0.0, 1.1957392692565918, 0.06411051750183105, 0.3054042458534241, 0.16983279585838318, 0.021667376160621643, 0.0]"
129,"[0.017622848972678185, 0.0, 0.36593911051750183, 0.12628273665905, 0.2605324983596802, 0.16219790279865265, 0.4570055603981018, 0.0]"
130,"[0.017623068764805794, 0.0, 0.30350685119628906, 0.1322825849056244, 0.2580457031726837, 0.161590114235878, 0.5067673921585083, 0.0]"
131,"[0.01762286201119423, 0.0, 0.37523406744003296, 0.12345865368843079, 0.26022082567214966, 0.16229113936424255, 0.424873411655426, 0.0]"
132,"[0.017622502520680428, 0.0, 0.4542352855205536, 0.11221138387918472, 0.2611314058303833, 0.16294646263122559, 0.30661332607269287, 0.0]"
133,"[0.017622629180550575, 0.0, 0.41515886783599854, 0.12008628249168396, 0.2620126008987427, 0.16262087225914001, 0.39815664291381836, 0.0]"
134,"[0.017622729763388634, 0.0, 0.38938313722610474, 0.1206604391336441, 0.25981080532073975, 0.1625264436006546, 0.39402535557746887, 0.0]"
135,"[0.017618853598833084, 0.0, 1.2750660181045532, 0.06036493927240372, 0.3109736144542694, 0.17061404883861542, 0.010464474558830261, 0.0]"
136,"[0.01762295886874199, 0.0, 0.34202730655670166, 0.127024844288826, 0.25898823142051697, 0.16199778020381927, 0.45597779750823975, 0.0]"
137,"[0.01762291043996811, 0.0, 0.35778576135635376, 0.12460123002529144, 0.25903022289276123, 0.1621856391429901, 0.4324492812156677, 0.0]"
138,"[0.017622876912355423, 0.0, 0.35938286781311035, 0.12567396461963654, 0.2599676847457886, 0.16217167675495148, 0.4432084560394287, 0.0]"
139,"[0.01762283220887184, 0.0, 0.39118027687072754, 0.11992454528808594, 0.25961846113204956, 0.16252413392066956, 0.38370639085769653, 0.0]"
140,"[0.017623435705900192, 0.0, 0.2186972051858902, 0.1400301158428192, 0.2545723617076874, 0.16076670587062836, 0.5724393725395203, 0.0]"
141,"[0.017622405663132668, 0.0, 0.4939158856868744, 0.1068514734506607, 0.2618039846420288, 0.16334261000156403, 0.25224173069000244, 0.0]"
142,"[0.01762283407151699, 0.0, 0.36955511569976807, 0.12218290567398071, 0.25882038474082947, 0.16220900416374207, 0.3979893922805786, 0.0]"
143,"[0.017618859186768532, 0.0, 1.30147123336792, 0.059207431972026825, 0.3129410147666931, 0.17087970674037933, 0.006815358996391296, 0.0]"
144,"[0.01761907897889614, 0.0, 1.2300139665603638, 0.06266413629055023, 0.3078780174255371, 0.17028407752513885, 0.017942309379577637, 0.0]"
145,"[0.017619052901864052, 0.0, 1.255289077758789, 0.06126903370022774, 0.3096674382686615, 0.17040689289569855, 0.012582451105117798, 0.0]"
146,"[0.01762300543487072, 0.0, 0.3375604748725891, 0.1254904568195343, 0.25776636600494385, 0.1620616316795349, 0.4329425096511841, 0.0]"
147,"[0.017622793093323708, 0.0, 0.3742256760597229, 0.12136050313711166, 0.2586749494075775, 0.16233637928962708, 0.393871545791626, 0.0]"
148,"[0.017622554674744606, 0.0, 0.45108550786972046, 0.11335517466068268, 0.26167207956314087, 0.16296625137329102, 0.3231127858161926, 0.0]"
149,"[0.017622793093323708, 0.0, 0.3780299425125122, 0.12263461202383041, 0.2598802447319031, 0.16221122443675995, 0.4119104743003845, 0.0]"
150,"[0.01762288063764572, 0.0, 0.34977293014526367, 0.12607751786708832, 0.2588527798652649, 0.16204072535037994, 0.44326698780059814, 0.0]"
151,"[0.01762363500893116, 0.0, 0.08498716354370117, 0.18776540458202362, 0.2702125012874603, 0.15981735289096832, 1.1735750436782837, 0.0]"
152,"[0.017622919753193855, 0.0, 0.34131598472595215, 0.1259050816297531, 0.25826042890548706, 0.16192904114723206, 0.4413323402404785, 0.0]"
153,"[0.017622442916035652, 0.0, 0.45278236269950867, 0.11556945741176605, 0.2628161609172821, 0.16306699812412262, 0.3525015711784363, 0.0]"
154,"[0.01762283779680729, 0.0, 0.3632838726043701, 0.12221480906009674, 0.2579561769962311, 0.16209948062896729, 0.3986142575740814, 0.0]"
155,"[0.01762290671467781, 0.0, 0.3454859256744385, 0.12668126821517944, 0.25901705026626587, 0.16207458078861237, 0.4559144377708435, 0.0]"
156,"[0.01762363128364086, 0.0, 0.08251020312309265, 0.18982207775115967, 0.27078115940093994, 0.15968744456768036, 1.1982136964797974, 0.0]"
157,"[0.01762290671467781, 0.0, 0.35709819197654724, 0.12441885471343994, 0.2591157555580139, 0.16222815215587616, 0.4303004741668701, 0.0]"
158,"[0.017623042687773705, 0.0, 0.31896620988845825, 0.12980885803699493, 0.2581821382045746, 0.1618259698152542, 0.4786263704299927, 0.0]"
159,"[0.017622968181967735, 0.0, 0.346884161233902, 0.1270298957824707, 0.25920045375823975, 0.16203321516513824, 0.4574945569038391, 0.0]"
160,"[0.01762288436293602, 0.0, 0.3692951202392578, 0.1224050372838974, 0.2588393986225128, 0.1622646600008011, 0.4070781469345093, 0.0]"
161,"[0.017622744664549828, 0.0, 0.3745965361595154, 0.12322299927473068, 0.259733647108078, 0.16227485239505768, 0.4179592728614807, 0.0]"
162,"[0.01762300543487072, 0.0, 0.3203396797180176, 0.12783882021903992, 0.25732526183128357, 0.1618480533361435, 0.4561452865600586, 0.0]"
163,"[0.017623085528612137, 0.0, 0.3088730275630951, 0.12782396376132965, 0.25621065497398376, 0.16161370277404785, 0.4493715763092041, 0.0]"
164,"[0.01762249879539013, 0.0, 0.44853970408439636, 0.11636826395988464, 0.2631475329399109, 0.16299666464328766, 0.3644181489944458, 0.0]"
165,"[0.01762276515364647, 0.0, 0.38795357942581177, 0.11995405703783035, 0.25942349433898926, 0.16247275471687317, 0.3823373317718506, 0.0]"
166,"[0.01762293092906475, 0.0, 0.3512131869792938, 0.12790045142173767, 0.2602442502975464, 0.16212506592273712, 0.47180867195129395, 0.0]"
167,"[0.01762288063764572, 0.0, 0.36397650837898254, 0.12409122288227081, 0.2592284679412842, 0.16223472356796265, 0.42873233556747437, 0.0]"
168,"[0.017622563987970352, 0.0, 0.4418203830718994, 0.11309321969747543, 0.2604150176048279, 0.16288824379444122, 0.31330692768096924, 0.0]"
169,"[0.01762237213551998, 0.0, 0.49045294523239136, 0.11088971048593521, 0.2638581097126007, 0.1633537858724594, 0.3080217242240906, 0.0]"
170,"[0.017622578889131546, 0.0, 0.41954734921455383, 0.11915583908557892, 0.26174670457839966, 0.16277514398097992, 0.3868200182914734, 0.0]"
171,"[0.017622914165258408, 0.0, 0.34680700302124023, 0.1263885349035263, 0.25916650891304016, 0.16209696233272552, 0.4517642855644226, 0.0]"
172,"[0.017622707411646843, 0.0, 0.3868892788887024, 0.12471948564052582, 0.26184624433517456, 0.16249875724315643, 0.44947075843811035, 0.0]"
173,"[0.017622532323002815, 0.0, 0.4646349847316742, 0.11309272050857544, 0.26272881031036377, 0.1630629003047943, 0.32426542043685913, 0.0]"
174,"[0.017622800543904305, 0.0, 0.37216269969940186, 0.12240362912416458, 0.2593090534210205, 0.1623266488313675, 0.4113101661205292, 0.0]"
175,"[0.01762283593416214, 0.0, 0.36370527744293213, 0.12426003813743591, 0.25933337211608887, 0.1621384471654892, 0.42737358808517456, 0.0]"
176,"[0.017622321844100952, 0.0, 0.47608864307403564, 0.11304882168769836, 0.2635689973831177, 0.1632212996482849, 0.32944807410240173, 0.0]"
177,"[0.01762291230261326, 0.0, 0.3351937532424927, 0.1254914402961731, 0.25760871171951294, 0.16194334626197815, 0.4359216094017029, 0.0]"
178,"[0.01762363687157631, 0.0, 0.09110935032367706, 0.18447670340538025, 0.2686496078968048, 0.1597667932510376, 1.1264723539352417, 0.0]"
179,"[0.017622536048293114, 0.0, 0.4473043382167816, 0.11291513592004776, 0.26074063777923584, 0.16286402940750122, 0.31156522035598755, 0.0]"
180,"[0.01762363314628601, 0.0, 0.08358249068260193, 0.18748602271080017, 0.26979079842567444, 0.1596941351890564, 1.1669114828109741, 0.0]"
181,"[0.01762252114713192, 0.0, 0.46253982186317444, 0.11221721768379211, 0.2617458403110504, 0.16308210790157318, 0.3087897300720215, 0.0]"
182,"[0.01762256771326065, 0.0, 0.4339880347251892, 0.11698314547538757, 0.2620258927345276, 0.16286541521549225, 0.362258642911911, 0.0]"
183,"[0.017622701823711395, 0.0, 0.40041184425354004, 0.11873062700033188, 0.25952693819999695, 0.1624331921339035, 0.3678262233734131, 0.0]"
184,"[0.01761906035244465, 0.0, 1.2460283041000366, 0.061996251344680786, 0.3089902698993683, 0.1704145073890686, 0.017553195357322693, 0.0]"
185,"[0.01762295328080654, 0.0, 0.3320169746875763, 0.12626832723617554, 0.2574343979358673, 0.16180796921253204, 0.4398951530456543, 0.0]"
186,"[0.01762261614203453, 0.0, 0.4088275134563446, 0.11944940686225891, 0.2609903812408447, 0.16257226467132568, 0.3852851986885071, 0.0]"
