mark,userName,p_id
Unaccepted,rickwang,P1000
Compile Error,Fее_cle6418,P1000
Accepted,zjx090217,P1000
Compile Error,guojiale0713,P1000
Accepted,sq114514,P1000
Judging,sq114514,P1000
Unaccepted,Lucas墨烟,P1000
Compile Error,蜉蝣2645981073,P1000
Accepted,lcc020505,P1000
Accepted,joew,P1000
,gmy2009,P1001
Compile Error,gmy2009,P1001
Accepted,wanghj25,P1001
Unaccepted,xc20010217,P1001
Compile Error,xc20010217,P1001
Accepted,yorkwang,P1001
Accepted,hty20940136,P1001
Accepted,zhouyongqiang,P1001
Accepted,Puddin,P1001
Unaccepted,方块,P1001
Accepted,zhengjianhong,P1001
Accepted,qwxxx,P1001
Compile Error,qwxxx,P1001
Accepted,htzml,P1001
Accepted,xlfish973,P1001
Accepted,oypx,P1001
Compile Error,oypx,P1001
Unaccepted,htzml,P1001
Accepted,Liutianyou93,P1001
Accepted,Jichenxuan,P1001
Unaccepted,Liutianyou93,P1001
Accepted,zhangjing张璟,P1001
Accepted,LDFldf,P1001
Accepted,Raoxiaomi,P1001
Compile Error,Raoxiaomi,P1001
Accepted,a85653374,P1001
Compile Error,a85653374,P1001
Accepted,Wylh123,P1001
Accepted,俱泸州陈好人,P1001
Accepted,shiguang05930,P1001
Accepted,shuxing,P1001
Accepted,gy_123456,P1001
Compile Error,Wylh123,P1001
Accepted,Yagoosa,P1001
Compile Error,060427LJY,P1001
Accepted,LI1203,P1001
Compile Error,LI1203,P1001
Accepted,叨叨从零开始,P1001
Accepted,可可萝,P1001
Accepted,zjk123456789,P1001
Accepted,2087210589ljl,P1001
Accepted,yuyan123,P1001
Accepted,陈chen54188,P1001
Accepted,hujunhao胡峻豪,P1001
Accepted,Renga丶,P1001
Accepted,caowurui,P1001
Accepted,ymh080727,P1001
Accepted,weizhuang329,P1001
Accepted,落鹰折雁,P1001
Accepted,三哈,P1001
Unaccepted,落鹰折雁,P1001
Compile Error,落鹰折雁,P1001
Accepted,铃音依旧,P1001
Compile Error,铃音依旧,P1001
Accepted,Cc666666,P1001
Compile Error,Cc666666,P1001
Accepted,钰光莎莎123,P1001
Accepted,Fuxr,P1001
Accepted,Taozhiyaoyao250,P1001
Accepted,gentlemans1,P1001
Accepted,M_Ardor,P1001
Accepted,jiaowoxiaokuai111,P1001
Accepted,今天你AC了吗？,P1001
Accepted,lujunyin,P1001
Accepted,zhao666,P1001
Unaccepted,zhao666,P1001
Accepted,Chenjiahui,P1001
Accepted,Litsev,P1001
Accepted,shiji,P1001
Unaccepted,Chenjiahui,P1001
Accepted,银翼的魔术师,P1001
Accepted,千手修罗,P1001
Accepted,qaz20020816,P1001
Accepted,JLu123,P1001
Accepted,ddcy,P1001
Accepted,Fancyyy,P1001
Accepted,隐隐约约妖艳,P1001
Accepted,Lxiansheng,P1001
Unaccepted,Lxiansheng,P1001
Accepted,Lydia205,P1001
Compile Error,Lydia205,P1001
Accepted,QBHN0203,P1001
Accepted,guofeng,P1001
Accepted,没有伟哥帅,P1001
Accepted,r7o7l7a7n7d,P1001
Compile Error,r7o7l7a7n7d,P1001
Accepted,爱学习嘀嘀,P1001
Unaccepted,24kHT,P1001
Unaccepted,r7o7l7a7n7d,P1001
Accepted,May597,P1001
Accepted,wztluogu,P1001
Accepted,wanyixin_WYX,P1001
Accepted,zhuhongbo521,P1001
Compile Error,wanyixin_WYX,P1001
Unaccepted,zhuhongbo521,P1001
Accepted,duhongxu,P1001
Accepted,meihao,P1001
Accepted,jsbqk,P1001
Accepted,larrygao,P1001
Accepted,YIS13,P1001
Accepted,刘小玉l,P1001
Compile Error,larrygao,P1001
Accepted,diyi,P1001
Accepted,我爱铃（yuper）,P1001
Unaccepted,我爱铃（yuper）,P1001
Accepted,cyy2066270092,P1001
Unaccepted,diyi,P1001
Accepted,ak20010203,P1001
Accepted,Jeffjiang,P1001
Unaccepted,ak20010203,P1001
Unaccepted,Jeffjiang,P1001
Accepted,杨佳林（2019）,P1001
Accepted,disappoint,P1001
Accepted,Zp1179236587,P1001
Accepted,CiAFang,P1001
Accepted,tsunami,P1001
Compile Error,CiAFang,P1001
Accepted,tju186,P1001
Accepted,Asrive,P1001
Accepted,wyh741852963,P1001
Accepted,星河_潜行,P1001
Compile Error,Asrive,P1001
Accepted,Lucky_,P1001
Accepted,周沐明zmm666,P1001
Accepted,david_66,P1001
Accepted,瀚海信竟dhy,P1001
Unaccepted,骑着猪的鹅,P1001
Compile Error,骑着猪的鹅,P1001
Accepted,xingjiahui,P1001
Accepted,王浩瀚2008,P1001
Accepted,袁世凯4455,P1001
Accepted,haczzyl,P1001
Accepted,ce123,P1001
Unaccepted,hangchu,P1001
Accepted,怎么吃都不饱,P1001
Compile Error,怎么吃都不饱,P1001
Accepted,yingjingxu,P1001
Compile Error,yingjingxu,P1001
Accepted,stranger_74,P1001
Compile Error,stranger_74,P1001
Accepted,Harker,P1001
Unaccepted,Harker,P1001
Unaccepted,luanshangbo,P1001
Accepted,canlan星河,P1001
Accepted,lizhaoqiang,P1001
Unshown,,P1001
Unaccepted,LO_XJY_VE,P1001
Compile Error,✨USTCJYZ✨,P1001
Unaccepted,✨USTCJYZ✨,P1001
Accepted,Lucifer1,P1001
Accepted,AusnUnia,P1001
Compile Error,AusnUnia,P1001
Accepted,wangshiyang,P1001
Compile Error,wangshiyang,P1001
Accepted,哈哈哥598,P1001
Accepted,创新,P1001
Accepted,LforikX,P1001
Accepted,HHHyuewei,P1001
Compile Error,mxchxydwtx,P1001
Accepted,cgy陈冠宇,P1001
Unaccepted,小呆呆,P1001
Accepted,suansuan20071031,P1001
Unaccepted,suansuan20071031,P1001
Accepted,末路江郎,P1001
Accepted,wryyyyyyyy,P1001
Compile Error,八嘎压路,P1001
Unaccepted,MagicPF,P1001
Accepted,钟鸣谦ZMQ,P1001
Accepted,xuxianzhi111,P1001
Accepted,a2480093,P1001
Accepted,为你写诗,P1001
Unaccepted,钟鸣谦ZMQ,P1001
Accepted,沉郁,P1001
Unaccepted,慕与灵先生的,P1001
Accepted,Hzy82625,P1001
Unaccepted,Hzy82625,P1001
Accepted,Layznana,P1001
Compile Error,Layznana,P1001
Accepted,aiser520,P1001
Accepted,tygjhyuk,P1001
Unaccepted,tygjhyuk,P1001
Unaccepted,yangdan1992,P1001
Accepted,shenlan1226,P1001
Accepted,dyh0204,P1001
Accepted,Chrora,P1001
Compile Error,oujunsong,P1001
Unaccepted,po1866,P1001
Accepted,Roy136,P1001
Accepted,wxz123888,P1001
Unaccepted,wxz123888,P1001
Compile Error,wxz123888,P1001
Accepted,po1866,P1001
Accepted,UnknownHostException,P1001
Unaccepted,UnknownHostException,P1001
Accepted,tlzx_px,P1001
Accepted,ruirui,P1001
Accepted,KLEED,P1001
Accepted,baishengmen,P1001
Unaccepted,caiyunzhao,P1001
Accepted,CHUANJIGL,P1001
Compile Error,CHUANJIGL,P1001
Compile Error,幸福的阳光,P1001
Accepted,remrem,P1001
Accepted,luogu_zsj,P1001
Accepted,Kezoom,P1001
Compile Error,LO_XJY_VE,P1001
Accepted,wistars,P1001
Compile Error,wistars,P1001
Accepted,jianlan0335,P1001
Compile Error,jianlan0335,P1001
Unaccepted,caoxiaonan,P1001
Accepted,wei189299,P1001
Accepted,李坤璘,P1001
Accepted,lihaifeng,P1001
Accepted,hhoppitree,P1001
Accepted,z97155,P1001
Accepted,培淇2021,P1001
Unaccepted,培淇2021,P1001
Unaccepted,VecTorLi,P1001
Compile Error,VecTorLi,P1001
Accepted,ZZN1204,P1001
Accepted,柑普0615,P1001
Accepted,鹊桥仙令,P1001
Unaccepted,tqz1013,P1001
Accepted,dream_Hao,P1001
Accepted,11BAI123,P1001
Accepted,xhl_338,P1001
Accepted,Rotation°,P1001
Compile Error,陈chen54188,P1001
Accepted,Na_intern,P1001
Compile Error,李常定7788,P1001
Accepted,Scandium123,P1001
Accepted,pppqqc,P1001
Accepted,zlx517,P1001
Compile Error,zlx517,P1001
Accepted,赫鲁小夫,P1001
Unaccepted,赫鲁小夫,P1001
Accepted,zxych001,P1001
Compile Error,zxych001,P1001
Accepted,kanhw,P1001
Compile Error,赫鲁小夫,P1001
Accepted,ljx19971013,P1001
Accepted,dy20100406,P1001
Compile Error,ljx19971013,P1001
Accepted,lemmmm,P1001
Accepted,zouxiang,P1001
Accepted,KABB,P1001
Compile Error,KABB,P1001
Accepted,qiuxiong1590,P1001
Accepted,lhl13888668895,P1001
Compile Error,lhl13888668895,P1001
Accepted,yjm6788,P1001
Accepted,wxxx,P1001
Accepted,thisisliang,P1001
Compile Error,thisisliang,P1001
Accepted,安居客kkc,P1001
Unaccepted,轩儿儿儿,P1001
Accepted,ZX233333,P1001
Accepted,Ckeaiplus,P1001
Unaccepted,Eason_AC,P1001
Accepted,Eason_AC,P1001
Accepted,seandev,P1001
Accepted,Mysteryflight,P1001
Compile Error,Mysteryflight,P1001
Accepted,ncoheart,P1001
Accepted,qinyihao,P1001
Accepted,Zshisan,P1001
Compile Error,Zshisan,P1001
Accepted,liujianmingshinidie,P1001
Accepted,hawkee,P1001
Accepted,WYTttao,P1001
Unaccepted,WYTttao,P1001
Accepted,zgy666,P1001
Accepted,jo_sen,P1001
Accepted,why1286354099,P1001
Accepted,Barry0903,P1001
Accepted,L_叶心,P1001
Accepted,123954355Hkr,P1001
Accepted,codejesus_young,P1001
Compile Error,codejesus_young,P1001
Accepted,QSH123321,P1001
Unaccepted,wsmnb,P1001
Accepted,Hxin,P1001
Accepted,ACCXavier,P1001
Accepted,c1010ccrush,P1001
Unaccepted,Barry0903,P1001
Accepted,小卒甲假小卒,P1001
Compile Error,Barry0903,P1001
Accepted,Heyf,P1001
Unaccepted,Heyf,P1001
Accepted,Gayler,P1001
Accepted,liudunrui,P1001
Accepted,Sonja郁妍,P1001
Accepted,Xu_Lejian,P1001
Accepted,siwanzhiyi,P1001
Accepted,Rikka125,P1001
Compile Error,Rikka125,P1001
Accepted,trf2476,P1001
Accepted,Rikka356,P1001
Accepted,yudidina,P1001
Accepted,ruika06,P1001
Compile Error,ruika06,P1001
Accepted,君子曰,P1001
Unaccepted,CMZ晨安,P1002
Unaccepted,unbelievable666,P1002
Accepted,BetterMeforD,P1002
Accepted,末路江郎,P1002
Accepted,SeeHow,P1002
Unaccepted,末路江郎,P1002
Unaccepted,SeeHow,P1002
Unaccepted,d1d1d,P1002
Unaccepted,jie8792343g5,P1002
Accepted,湖工vip,P1002
Unaccepted,球球了AC吧,P1002
Compile Error,Grouchy,P1002
Accepted,杨振亚673,P1002
Unaccepted,湖工vip,P1002
Accepted,turing66,P1002
Unaccepted,Lokirovskii,P1002
Unaccepted,turing66,P1002
Unaccepted,索尔·奥丁森,P1002
Accepted,bcybcy,P1002
Accepted,meng12138,P1002
Accepted,tzhiy,P1002
Unaccepted,tzhiy,P1002
Unaccepted,张宇豪666,P1002
Unaccepted,bcybcy,P1002
Unaccepted,LUCYSTEAM,P1002
Accepted,LUCYSTEAM,P1002
Accepted,yoyo_looming,P1002
Compile Error,湖工vip,P1002
Accepted,long20021703,P1002
Accepted,Turbo_engine,P1002
Unaccepted,long20021703,P1002
Accepted,123703zyf,P1002
Unaccepted,Turbo_engine,P1002
Accepted,sthtbsny,P1002
Unaccepted,sthtbsny,P1002
Accepted,zy187,P1002
Accepted,skyfly886,P1002
Accepted,yh200314,P1002
Compile Error,d1d1d,P1002
Unaccepted,xiaoxuheng,P1002
Unaccepted,LuoYf,P1002
Accepted,ToBeTrusted,P1002
Unaccepted,yh200314,P1002
Accepted,lanos212,P1002
Compile Error,lanos212,P1002
Unaccepted,yoyo_looming,P1002
Unaccepted,zy187,P1002
Unaccepted,cyy2066270092,P1002
Unaccepted,Alonezyj,P1002
Compile Error,Alonezyj,P1002
Unaccepted,化尘star,P1002
Accepted,xiaoju,P1002
Unaccepted,xiaoju,P1002
Unshown,,P1002
Accepted,SuRer1234,P1002
Compile Error,SuRer1234,P1002
Accepted,淡看宝贝,P1002
Accepted,genius_dzb,P1002
Unaccepted,genius_dzb,P1002
Unaccepted,po1866,P1002
Compile Error,zy187,P1002
Compile Error,po1866,P1002
Accepted,xhl_338,P1002
Unaccepted,xhl_338,P1002
Compile Error,ytswr,P1002
Unaccepted,Jaryiyyyyy,P1002
Compile Error,Jaryiyyyyy,P1002
Unaccepted,HZH7318,P1002
Accepted,bks123,P1002
Compile Error,dream_Hao,P1002
Unaccepted,Felix啊啊啊啊,P1002
Unaccepted,bks123,P1002
Accepted,峻宇哥,P1002
Accepted,vv_ay3c4,P1002
Unaccepted,峻宇哥,P1002
Unaccepted,vv_ay3c4,P1002
Unaccepted,ememmm,P1002
Accepted,std666,P1002
Accepted,朱梓泉的爸爸,P1002
Accepted,2545279069CJW,P1002
Unaccepted,2545279069CJW,P1002
Accepted,nick_zha,P1002
Accepted,chenwanxi41,P1002
Unaccepted,nick_zha,P1002
Accepted,ncoheart,P1002
Unaccepted,ncoheart,P1002
Unaccepted,whh005,P1002
Unaccepted,WUZHICHAO,P1002
Accepted,WUZHICHAO,P1002
Compile Error,WUZHICHAO,P1002
Unaccepted,baobeihu1126,P1002
Accepted,jo_sen,P1002
Unaccepted,jo_sen,P1002
Accepted,asdfgh55649,P1002
Unaccepted,c。,P1002
Unaccepted,skyfly886,P1002
Accepted,c。,P1002
Unaccepted,TJUT_0015,P1002
Accepted,978935810zmj,P1002
Unaccepted,978935810zmj,P1002
Unaccepted,H2030819025,P1002
Accepted,2yue14,P1002
Accepted,huangkx,P1002
Accepted,wyxwyxwyx,P1002
Unaccepted,wyxwyxwyx,P1002
Accepted,woshixiaohunzi,P1002
Unaccepted,woshixiaohunzi,P1002
Accepted,不羁123,P1002
Compile Error,不羁123,P1002
Unaccepted,2yue14,P1002
Unaccepted,Summer_Ltd,P1002
Accepted,Awkward,P1002
Accepted,wlmszdnb,P1002
Unaccepted,handsome俊,P1002
Accepted,QiJunliang,P1002
Unaccepted,wlmszdnb,P1002
Unaccepted,QiJunliang,P1002
Accepted,ExhaustedBoy,P1002
Accepted,lcc020505,P1002
Unaccepted,ExhaustedBoy,P1002
Unaccepted,mengyishi,P1002
Accepted,YSHK132456789,P1002
Unaccepted,SCNU_YJX,P1002
Unaccepted,YSHK132456789,P1002
Compile Error,low123,P1002
Accepted,L1509021938,P1002
Accepted,whffams,P1002
Accepted,phoenix76,P1002
Accepted,小龙喵,P1002
Accepted,jknbhbuy,P1002
Unaccepted,jknbhbuy,P1002
Unaccepted,phoenix76,P1002
Unaccepted,L1509021938,P1002
Compile Error,L1509021938,P1002
Unaccepted,whffams,P1002
Unaccepted,tya123,P1002
Accepted,御坂mikoto,P1002
Accepted,z_y_m,P1002
Accepted,Chen_Tai,P1002
Unaccepted,Chen_Tai,P1002
Waiting,Chen_Tai,P1002
Waiting,jknbhbuy,P1002
Accepted,h202010,P1002
Unaccepted,tongzhenxuan,P1002
Accepted,彤日初升,P1002
Compile Error,彤日初升,P1002
Compile Error,LQM799,P1002
Compile Error,TJUT_0015,P1002
Accepted,hujia2021,P1002
Accepted,余生慢,P1002
Compile Error,余生慢,P1002
Accepted,SYS传闻中的球,P1002
Unaccepted,余生慢,P1002
Accepted,sq524594846,P1002
Accepted,家父张二河,P1002
Unaccepted,家父张二河,P1002
Unaccepted,sq524594846,P1002
Accepted,zh3338024948,P1002
Unaccepted,zh3338024948,P1002
Accepted,aa15815164433,P1002
Unaccepted,aa15815164433,P1002
Accepted,dongxiaofengbc,P1002
Accepted,Con24kn,P1002
Unaccepted,Con24kn,P1002
Unaccepted,dongxiaofengbc,P1002
Compile Error,Con24kn,P1002
Accepted,k y m,P1002
Accepted,koro,P1002
Accepted,wh0142,P1002
Compile Error,C200613黄渝博,P1002
Accepted,zjq88584656,P1002
Unaccepted,zjq88584656,P1002
Accepted,xmmz517787023,P1002
Accepted,FTTS,P1002
Unaccepted,Aros,P1002
Accepted,wangyudong09,P1002
Unaccepted,wangyudong09,P1002
Unaccepted,幻想乐章,P1002
Accepted,Durable,P1002
Unaccepted,林楷淞666,P1003
Unaccepted,姜役_Eli,P1003
Accepted,Break_tao,P1003
Unaccepted,Break_tao,P1003
Accepted,li1994218,P1003
Compile Error,林楷淞666,P1003
Unaccepted,li1994218,P1003
Accepted,zxhyll,P1003
Compile Error,陈宏浩,P1003
Accepted,WAWA的,P1003
Unaccepted,WAWA的,P1003
Accepted,陈情、无机,P1003
Unaccepted,DDD老猹,P1003
Accepted,zhangxinyang2008,P1003
Accepted,wuwei1636,P1003
Accepted,ckk_0118,P1003
Compile Error,ckk_0118,P1003
Accepted,CreeperLv,P1003
Unaccepted,chw081024,P1003
Accepted,Dortmund,P1003
Unaccepted,Dortmund,P1003
Compile Error,Dortmund,P1003
Accepted,123703zyf,P1003
Compile Error,123703zyf,P1003
Accepted,qy123456,P1003
Accepted,帅开椰子皮,P1003
Accepted,biejiaowohuazi,P1003
Unaccepted,帅开椰子皮,P1003
Accepted,aikun01,P1003
Unaccepted,aikun01,P1003
Accepted,xiaoju,P1003
Accepted,淡看宝贝,P1003
Accepted,codeloong,P1003
Unaccepted,淡看宝贝,P1003
Accepted,180993751zuo,P1003
Unaccepted,lz486,P1003
Compile Error,lz486,P1003
Accepted,COD002,P1003
Unaccepted,COD002,P1003
Accepted,jccccccc,P1003
Compile Error,淡看宝贝,P1003
Unaccepted,jccccccc,P1003
Compile Error,jccccccc,P1003
Accepted,虞政熹,P1003
Accepted,2627423072lzz,P1003
Accepted,RyanLei,P1003
Unaccepted,RyanLei,P1003
Compile Error,liujingzhichen,P1003
Accepted,lpq0268,P1003
Accepted,cunkouyoukesong,P1003
Unaccepted,lpq0268,P1003
Accepted,成晨,P1003
Unaccepted,成晨,P1003
Accepted,magiczfz,P1003
Unaccepted,magiczfz,P1003
Accepted,多啦xr,P1003
Compile Error,magiczfz,P1003
Accepted,xiaoqi0,P1003
Unaccepted,xiaoqi0,P1003
Compile Error,xiaoqi0,P1003
Accepted,castielZH,P1003
Accepted,darkforce,P1003
Unaccepted,castielZH,P1003
Accepted,huang0412,P1003
Compile Error,huang0412,P1003
Accepted,d1d1d,P1003
Unaccepted,d1d1d,P1003
Compile Error,d1d1d,P1003
Accepted,daiyang,P1003
Unaccepted,daiyang,P1003
Accepted,朱梓泉的爸爸,P1003
Accepted,lyx070122,P1003
Unaccepted,CircaHAN1,P1003
Unaccepted,wuyuhangnb,P1003
Accepted,ncoheart,P1003
Accepted,BetterMeforD,P1003
Unaccepted,ncoheart,P1003
Accepted,MR_QIN,P1003
Accepted,天南星魔芋,P1003
Accepted,decentjoker,P1003
Compile Error,decentjoker,P1003
Accepted,Daises,P1003
Accepted,lovesickman,P1003
Unaccepted,lovesickman,P1003
Accepted,哲学家写散文,P1003
Accepted,ZX233333,P1003
Compile Error,ZX233333,P1003
Unaccepted,ZX233333,P1003
Accepted,jo_sen,P1003
Accepted,long1997,P1003
Compile Error,long1997,P1003
Unaccepted,long1997,P1003
Accepted,978935810zmj,P1003
Unaccepted,978935810zmj,P1003
Compile Error,AAA18947208923,P1003
Unaccepted,6973lb,P1003
Compile Error,6973lb,P1003
Accepted,我演我演！,P1003
Unaccepted,我演我演！,P1003
Accepted,taoqibufazhan,P1003
Unaccepted,taoqibufazhan,P1003
Accepted,tlemangen,P1003
