question_id,question_embedding
27,"[0.2111925631761551, 0.5842162370681763, 4.262702941894531, 0.3502246141433716, 2.6311211585998535, 0.37425100803375244, 0.4769256114959717, 0.04913562536239624]"
28,"[0.25760993361473083, 0.5963396430015564, 2.9579410552978516, 0.5772532224655151, 5.862011909484863, 0.6693347692489624, 0.2978479266166687, 0.03324511647224426]"
29,"[0.28364717960357666, 0.7337143421173096, 3.9511666297912598, 0.782058596611023, 9.680150985717773, 0.955604076385498, 0.24949423968791962, 0.022485461086034775]"
30,"[0.24257329106330872, 0.5557563900947571, 2.895336389541626, 0.4829724431037903, 4.260987281799316, 0.5412823557853699, 0.3402245342731476, 0.03860130533576012]"
31,"[0.26709556579589844, 0.6782084703445435, 3.7402212619781494, 0.6708753108978271, 7.741336822509766, 0.8030754327774048, 0.2928211987018585, 0.028717409819364548]"
32,"[0.21212486922740936, 0.5927989482879639, 4.3506855964660645, 0.3598984181880951, 2.8283374309539795, 0.3880693018436432, 0.4766526222229004, 0.04865693300962448]"
33,"[0.19968464970588684, 0.6066083312034607, 4.923308849334717, 0.3083960711956024, 2.21274471282959, 0.3236410319805145, 0.5320050716400146, 0.052660804241895676]"
34,"[0.2461598813533783, 0.5923421382904053, 3.2697131633758545, 0.5212282538414001, 5.056734085083008, 0.5963189601898193, 0.3412799537181854, 0.03696494922041893]"
35,"[0.28350335359573364, 0.6984478831291199, 3.481952428817749, 0.7591671347618103, 9.10438060760498, 0.9204825162887573, 0.2368210107088089, 0.023242054507136345]"
36,"[0.24429233372211456, 0.7362319231033325, 5.231686592102051, 0.596390962600708, 7.122766494750977, 0.7160769701004028, 0.4072805643081665, 0.035678714513778687]"
37,"[0.2227989137172699, 0.5590189099311829, 3.567554235458374, 0.39029461145401, 3.00307035446167, 0.4219951331615448, 0.4210931062698364, 0.04538293927907944]"
38,"[0.2719082236289978, 0.5858019590377808, 2.3644862174987793, 0.639539361000061, 6.645289897918701, 0.7483106851577759, 0.23632602393627167, 0.028325634077191353]"
39,"[0.26012006402015686, 0.5373281240463257, 2.093505620956421, 0.5555794835090637, 5.138747215270996, 0.6321282386779785, 0.26308009028434753, 0.03292136639356613]"
40,"[0.17976608872413635, 0.6492296457290649, 6.075847148895264, 0.2357340306043625, 1.506223201751709, 0.23650005459785461, 0.6298301219940186, 0.060778722167015076]"
41,"[0.2733041048049927, 0.626409113407135, 2.857090950012207, 0.6697515249252319, 7.354659080505371, 0.7936075925827026, 0.24741263687610626, 0.027575848624110222]"
42,"[0.24991679191589355, 0.641075611114502, 3.788576364517212, 0.5673019289970398, 6.038176536560059, 0.6634825468063354, 0.34609609842300415, 0.03527744114398956]"
43,"[0.26812535524368286, 0.67104572057724, 3.6100122928619385, 0.6715404987335205, 7.696481704711914, 0.8030130863189697, 0.2856847047805786, 0.02856159210205078]"
44,"[0.2041134536266327, 0.6859602332115173, 5.83984375, 0.3760792016983032, 3.718078374862671, 0.42359504103660583, 0.5464699268341064, 0.05007947236299515]"
45,"[0.24687819182872772, 0.7306622266769409, 5.075412750244141, 0.6056481003761292, 7.212976932525635, 0.7270693778991699, 0.3944735825061798, 0.03500964865088463]"
46,"[0.2640478014945984, 0.6281058192253113, 3.1698849201202393, 0.6270722150802612, 6.771613597869873, 0.7388803958892822, 0.28465351462364197, 0.03040546365082264]"
47,"[0.24719320237636566, 0.5665313601493835, 2.888897657394409, 0.5110082626342773, 4.72590970993042, 0.5791118144989014, 0.3264993131160736, 0.03679640218615532]"
48,"[0.2519393861293793, 0.4939216673374176, 1.7721946239471436, 0.49057966470718384, 3.92227840423584, 0.5413423180580139, 0.27850043773651123, 0.0363302081823349]"
49,"[0.2403552383184433, 0.5217825174331665, 2.5131490230560303, 0.45224860310554504, 3.591273307800293, 0.49628472328186035, 0.33581098914146423, 0.039890460669994354]"
50,"[0.2699163556098938, 0.6781957149505615, 3.6509952545166016, 0.6844402551651001, 7.93437385559082, 0.8206053972244263, 0.28138187527656555, 0.027777059003710747]"
51,"[0.238841250538826, 0.5951748490333557, 3.5428075790405273, 0.48836609721183777, 4.622068405151367, 0.5543816089630127, 0.3714124262332916, 0.03937838226556778]"
52,"[0.2866436541080475, 0.6561440825462341, 2.8120877742767334, 0.7495593428611755, 8.667046546936035, 0.9011701345443726, 0.2066701203584671, 0.022681590169668198]"
53,"[0.28098270297050476, 0.6114984750747681, 2.4270551204681396, 0.6974163055419922, 7.632245063781738, 0.8271157741546631, 0.211392343044281, 0.025045862421393394]"
54,"[0.27904272079467773, 0.658014178276062, 3.0963728427886963, 0.7156462669372559, 8.212807655334473, 0.8581019639968872, 0.2374993860721588, 0.02526083216071129]"
55,"[0.25317686796188354, 0.5675560235977173, 2.7233047485351562, 0.540245532989502, 5.141646862030029, 0.6171926259994507, 0.3034355938434601, 0.034809403121471405]"
56,"[0.2756928503513336, 0.634260892868042, 2.8989031314849854, 0.6861085891723633, 7.636099338531494, 0.816225528717041, 0.24119117856025696, 0.026428615674376488]"
57,"[0.22752134501934052, 0.6459385752677917, 4.56346321105957, 0.46413350105285645, 4.649975776672363, 0.5310552716255188, 0.4368269741535187, 0.04262393340468407]"
58,"[0.2578914761543274, 0.6990704536437988, 4.309459686279297, 0.6397106647491455, 7.46048641204834, 0.7662854194641113, 0.337822824716568, 0.031620003283023834]"
59,"[0.26340875029563904, 0.6853760480880737, 3.951228380203247, 0.6574973464012146, 7.604372978210449, 0.7870712280273438, 0.31044426560401917, 0.029929593205451965]"
60,"[0.27963221073150635, 0.6786320209503174, 3.345095157623291, 0.7303967475891113, 8.569269180297852, 0.880202054977417, 0.24337318539619446, 0.024751564487814903]"
61,"[0.2278202325105667, 0.6247755885124207, 4.280902862548828, 0.4531371593475342, 4.343913555145264, 0.5135735869407654, 0.42730623483657837, 0.04276472330093384]"
62,"[0.2152923196554184, 0.6147739291191101, 4.535145282745361, 0.38711512088775635, 3.3568968772888184, 0.4265960454940796, 0.4732110798358917, 0.04719008877873421]"
63,"[0.22897249460220337, 0.623566746711731, 4.221853256225586, 0.45811328291893005, 4.402068138122559, 0.5197802782058716, 0.4218718409538269, 0.04232898727059364]"
64,"[0.23579467833042145, 0.6050542593002319, 3.7618002891540527, 0.47960489988327026, 4.568498611450195, 0.5444706678390503, 0.38723185658454895, 0.040184587240219116]"
65,"[0.2270956188440323, 0.6795527338981628, 5.022200584411621, 0.48159322142601013, 5.135369777679443, 0.5589619278907776, 0.45260223746299744, 0.04245554283261299]"
66,"[0.23401467502117157, 0.5464309453964233, 3.048856019973755, 0.4370102882385254, 3.5650198459625244, 0.4804118871688843, 0.3708450198173523, 0.04171359911561012]"
67,"[0.2577205002307892, 0.6404240727424622, 3.5348827838897705, 0.6038719415664673, 6.538031578063965, 0.710767388343811, 0.31492555141448975, 0.03264543414115906]"
68,"[0.22539858520030975, 0.5098479986190796, 2.82981538772583, 0.3743148148059845, 2.429659843444824, 0.3937223255634308, 0.3902668356895447, 0.04502306133508682]"
69,"[0.23004259169101715, 0.5262707471847534, 2.905040740966797, 0.40602609515190125, 2.9873502254486084, 0.43725883960723877, 0.3785541355609894, 0.04327042028307915]"
70,"[0.2834240198135376, 0.6991963982582092, 3.5053117275238037, 0.7605961561203003, 9.135430335998535, 0.9225224256515503, 0.2369212955236435, 0.023128362372517586]"
71,"[0.23189476132392883, 0.6128556728363037, 3.996676206588745, 0.46592047810554504, 4.438331604003906, 0.5283294916152954, 0.4060477316379547, 0.04154780134558678]"
72,"[0.24239079654216766, 0.7273505926132202, 5.175549030303955, 0.5820935964584351, 6.861515998840332, 0.6962255239486694, 0.41121581196784973, 0.0365983285009861]"
73,"[0.27117592096328735, 0.5637874603271484, 2.1021804809570312, 0.6236701607704163, 6.268490314483643, 0.7243729829788208, 0.23026305437088013, 0.02886630780994892]"
74,"[0.28710418939590454, 0.6517670154571533, 2.7599570751190186, 0.7503589391708374, 8.65225601196289, 0.9019062519073486, 0.20283612608909607, 0.022576218470931053]"
75,"[0.2043551206588745, 0.6018455624580383, 4.705926895141602, 0.32729530334472656, 2.435803174972534, 0.3472924828529358, 0.5117073655128479, 0.0514230877161026]"
76,"[0.23906290531158447, 0.5288600921630859, 2.6528077125549316, 0.450692355632782, 3.6251068115234375, 0.4953565299510956, 0.34362155199050903, 0.04016268998384476]"
77,"[0.28255191445350647, 0.6762518286705017, 3.216763734817505, 0.7422769069671631, 8.71165943145752, 0.8951183557510376, 0.2312573790550232, 0.023852447047829628]"
78,"[0.2826910614967346, 0.6259002685546875, 2.5509238243103027, 0.7138279676437378, 7.9610419273376465, 0.8506002426147461, 0.21006864309310913, 0.024226967245340347]"
79,"[0.27831679582595825, 0.5937529802322388, 2.279813766479492, 0.6742732524871826, 7.185389518737793, 0.7945190668106079, 0.2149786800146103, 0.026324648410081863]"
80,"[0.2770664691925049, 0.5858637690544128, 2.2071051597595215, 0.6635704040527344, 6.980349540710449, 0.7794204950332642, 0.21662303805351257, 0.026873350143432617]"
81,"[0.2824713885784149, 0.62076336145401, 2.493342399597168, 0.7097042798995972, 7.864894866943359, 0.8443940877914429, 0.20896175503730774, 0.024482812732458115]"
