user_id,user_question_sim_list
50,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
51,49 33 4 60 61 38 14 75 21 73 17 12 78 47 65 30 32 62 71 69
52,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
53,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
54,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
55,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
56,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
57,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
58,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
59,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
60,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
61,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
62,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
63,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
64,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
65,21 14 65 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
66,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
67,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
68,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
69,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
70,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
71,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
72,49 33 60 4 61 38 14 75 21 73 17 12 78 47 65 32 62 30 71 69
73,14 21 65 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
74,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
75,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
76,33 49 4 61 60 38 75 73 17 14 12 21 78 47 30 71 69 67 50 65
77,21 14 65 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
78,33 49 4 60 61 38 75 73 17 14 21 12 78 47 30 71 69 65 67 50
79,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
80,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
81,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
82,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
83,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
84,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
85,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
86,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
87,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
88,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
89,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
90,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
91,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
92,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
93,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
94,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
95,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
96,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
97,38 61 75 73 17 4 12 78 33 47 49 30 71 69 60 67 50 76 81 16
98,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
99,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
100,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
101,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
102,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
103,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
104,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
105,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
106,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
107,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
108,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
109,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
110,49 33 60 4 61 38 14 21 75 73 17 12 78 65 47 32 62 30 71 69
111,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
112,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
113,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
114,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
115,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
116,49 33 60 4 61 38 14 21 75 73 17 12 78 65 32 47 62 30 71 69
117,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
118,49 33 60 4 61 38 14 21 75 73 17 12 65 78 32 62 47 30 71 69
119,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
120,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
121,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
122,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
123,33 49 4 60 61 38 75 14 73 17 21 12 78 47 30 65 71 32 62 69
124,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
125,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
126,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
127,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
128,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
129,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
130,21 14 65 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
131,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
132,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
133,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
134,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
135,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
136,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
137,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
138,49 33 60 4 61 38 14 21 75 73 17 12 78 47 65 32 62 30 71 69
139,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
140,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
141,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
142,65 21 32 62 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
143,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
144,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
145,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
146,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
147,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
148,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
149,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
150,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
151,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
152,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
153,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
154,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
155,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
156,21 65 14 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
157,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
158,32 62 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
159,32 62 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
160,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
161,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
162,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
163,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
164,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
165,32 62 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
166,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
167,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
168,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
169,49 33 60 4 61 38 14 21 75 73 17 12 78 47 65 32 62 30 71 69
170,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
171,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
172,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
173,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
174,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
175,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
176,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
177,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
178,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
179,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
180,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
181,49 33 4 60 61 38 14 75 21 73 17 12 78 47 65 32 62 30 71 69
182,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
183,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
184,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
185,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
186,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
187,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
188,32 62 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
189,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
190,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
191,49 33 60 4 61 38 14 21 75 73 17 12 78 65 32 62 47 30 71 69
192,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
193,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
194,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
195,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
196,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
197,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
198,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
199,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
200,21 14 65 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
201,49 33 60 4 61 38 14 21 75 73 17 65 12 78 32 62 47 30 71 69
202,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
203,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
204,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
205,49 33 4 60 61 38 14 75 21 73 17 12 78 47 65 30 32 62 71 69
206,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
207,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
208,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
209,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
210,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
211,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
212,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
213,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
214,49 60 33 4 61 38 14 21 75 73 17 65 32 62 12 78 47 30 71 69
215,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
216,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
217,21 14 65 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
218,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
219,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
220,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
221,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
222,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
223,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
224,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
225,21 14 65 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
226,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
227,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
228,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
229,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
230,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
231,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
232,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
233,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
234,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
235,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
236,21 65 14 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
237,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
238,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
239,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
240,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
241,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
242,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
243,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
244,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
245,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
246,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
247,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
248,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
249,60 49 33 14 21 4 61 38 65 32 62 75 73 17 12 78 47 30 71 69
250,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
251,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
252,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
253,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
254,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
255,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
256,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
257,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
258,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
259,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
260,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
261,49 33 60 4 61 38 14 21 75 73 17 12 65 78 32 62 47 30 71 69
262,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
263,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
264,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
265,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
266,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
267,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
268,33 49 4 60 61 38 75 73 14 17 21 12 78 47 30 71 65 32 62 69
269,33 49 4 60 61 38 14 75 21 73 17 12 78 47 65 30 71 32 62 69
270,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
271,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
272,33 4 49 61 60 38 75 73 17 14 12 78 21 47 30 71 69 67 50 76
273,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
274,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
275,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
276,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
277,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
278,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
279,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
280,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
281,32 62 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
282,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
283,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
284,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
285,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
286,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
287,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
288,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
289,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
290,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
291,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
292,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
293,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
294,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
295,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
296,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
297,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
298,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
299,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
300,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
301,49 60 33 4 61 38 14 21 75 73 17 65 32 62 12 78 47 30 71 69
302,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
303,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
304,49 33 4 60 61 38 14 75 21 73 17 12 78 47 65 32 62 30 71 69
305,49 33 60 4 61 38 14 21 75 73 17 12 65 78 32 62 47 30 71 69
306,32 62 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
307,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
308,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
309,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
310,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
311,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
312,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
313,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
314,49 33 60 4 61 38 14 21 75 73 17 12 65 78 32 62 47 30 71 69
315,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
316,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
317,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
318,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
319,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
320,49 33 60 4 61 38 14 21 75 73 17 65 12 32 62 78 47 30 71 69
321,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
322,21 65 14 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
323,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
324,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
325,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
326,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
327,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
328,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
329,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
330,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
331,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
