question_id,question_sim_list
36,36 57 23 55 54 18 74 63 44 59 31 29 66 13 70 11 10 0 22 40
37,37 51 58 45 48 15 24 25 20 42 0 10 56 8 52 46 70 39 31 59
38,38 61 4 75 73 17 33 49 12 78 47 60 30 71 69 67 50 76 81 16
39,39 46 52 53 8 56 35 42 20 25 24 48 1 58 51 37 45 15 77 0
40,40 5 34 6 2 80 43 22 26 72 79 28 11 13 19 66 29 3 68 44
41,41 77 1 35 53 39 46 52 8 56 42 20 25 24 48 58 51 37 45 15
42,42 20 56 25 8 24 52 46 48 58 39 51 37 53 45 15 35 0 10 1
43,43 80 2 6 34 26 5 40 72 79 28 22 19 3 68 11 13 7 66 29
44,44 63 54 29 66 13 11 23 36 57 55 22 18 74 40 5 34 6 2 80
45,45 15 37 51 58 48 0 24 10 25 20 42 70 56 8 31 59 52 46 39
46,46 52 39 8 56 53 42 20 35 25 24 48 58 51 37 1 45 15 0 10
47,47 78 30 12 71 69 67 50 17 73 76 81 75 16 27 64 9 7 38 68
48,48 58 24 51 37 25 45 20 42 15 56 8 52 46 0 10 39 53 70 31
49,49 33 60 4 61 38 14 21 75 73 17 12 78 47 65 32 62 30 71 69
50,50 76 67 69 81 71 30 16 47 27 64 9 7 78 68 12 3 19 17 73
51,51 37 58 45 48 15 24 25 20 42 0 10 56 8 52 46 70 39 31 59
52,52 46 8 39 56 53 42 20 25 35 24 48 58 51 37 45 1 15 0 10
53,53 39 35 46 52 8 56 42 20 1 25 24 48 58 51 37 45 77 15 41
54,54 63 44 23 36 57 29 66 55 13 11 18 74 22 59 31 70 40 5 34
55,55 57 36 18 74 23 54 59 31 70 63 44 29 66 13 10 11 0 22 15
56,56 8 42 52 20 46 25 39 24 53 48 58 51 37 35 45 15 1 0 10
57,57 36 55 23 18 54 74 63 44 59 31 70 29 66 13 11 10 0 22 40
58,58 51 37 48 45 24 15 25 20 42 56 0 8 10 52 46 39 70 53 31
59,59 31 70 74 18 10 0 55 57 36 23 15 45 54 37 51 58 63 44 48
60,60 49 33 4 14 21 61 38 65 32 62 75 73 17 12 78 47 30 71 69
61,61 38 4 75 73 17 33 49 12 78 60 47 30 71 69 67 50 76 81 16
62,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
63,63 44 54 29 66 13 23 11 36 57 55 22 18 74 40 5 34 6 2 80
64,64 27 9 7 68 16 3 81 19 76 50 28 67 69 79 72 71 26 30 43
65,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
66,66 13 29 11 44 63 54 22 23 40 5 34 6 36 2 57 80 43 55 26
67,67 69 50 76 81 71 30 16 47 64 27 9 7 78 12 68 3 17 73 19
68,68 7 3 9 27 64 19 28 16 79 72 26 81 76 43 50 67 80 69 2
69,69 67 50 76 71 81 30 16 47 64 27 78 9 7 12 68 3 17 73 75
70,70 31 59 10 74 18 0 55 57 36 15 45 23 37 51 58 54 48 63 44
71,71 30 69 67 50 47 76 81 78 12 16 27 64 17 9 73 7 75 68 3
72,72 79 26 28 43 19 80 2 6 34 3 5 40 68 22 7 9 27 64 16
73,73 17 75 12 78 47 38 30 61 71 69 67 50 76 81 4 16 64 27 9
74,74 18 55 59 31 57 70 36 23 54 10 0 63 44 29 66 15 13 45 11
75,75 73 17 12 78 38 47 61 30 71 69 67 4 50 76 81 16 33 49 64
76,76 50 67 81 69 71 16 30 64 27 9 47 7 68 78 12 3 19 28 17
77,77 41 1 35 53 39 46 52 8 56 42 20 25 24 48 58 51 37 45 15
78,78 12 47 17 73 30 71 75 69 67 50 76 81 16 38 61 27 64 9 7
79,79 72 28 26 19 43 80 3 2 6 34 5 40 68 7 22 9 27 64 16
80,80 2 43 6 34 5 40 26 72 79 22 28 19 3 11 13 68 66 29 7
81,81 76 50 67 69 16 71 30 27 64 9 7 47 68 3 78 12 19 28 79
