mark,userName,questionId,mark_idx,userName_idx,questionId_idx
Unaccepted,学废了学废了,P1000,0,101,0
Unaccepted,puichingabc12345,P1000,0,102,0
Accepted,Scandium123,P1000,1,103,0
Unaccepted,C216PHY,P1000,0,104,0
Unaccepted,pppqqc,P1000,0,105,0
Accepted,zouxiang,P1000,1,106,0
Unaccepted,ljx19971013,P1000,0,107,0
Unaccepted,zxych001,P1000,0,108,0
Unaccepted,dy20100406,P1000,0,109,0
Unaccepted,lemmmm,P1000,0,110,0
Unaccepted,Harker,P1000,0,111,0
Unaccepted,KABB,P1000,0,112,0
Unaccepted,张客宇code,P1000,0,113,0
Accepted,Daises,P1000,1,114,0
Accepted,lhl13888668895,P1000,1,115,0
Unaccepted,qiuxiong1590,P1000,0,116,0
Accepted,wzqxx,P1000,1,117,0
Accepted,thisisliang,P1000,1,118,0
Unaccepted,BoringHacker,P1000,0,119,0
Accepted,ZX233333,P1000,1,120,0
Unaccepted,京京1342,P1000,0,121,0
Unaccepted,Lugia0121,P1000,0,122,0
Accepted,ncoheart,P1000,1,123,0
Unaccepted,liujianmingshinidie,P1000,0,124,0
Unaccepted,怎么吃都不饱,P1000,0,125,0
Accepted,LY183492761,P1000,1,126,0
Unaccepted,PetterZhukov,P1000,0,127,0
Unaccepted,WYTttao,P1000,0,128,0
Accepted,hgyjxy18674469817,P1000,1,129,0
Accepted,jo_sen,P1000,1,130,0
Unaccepted,mwj2068472209,P1000,0,131,0
Accepted,why1286354099,P1000,1,132,0
Unaccepted,AAA18947208923,P1000,0,133,0
Accepted,c1010ccrush,P1000,1,134,0
Accepted,wsmnb,P1000,1,135,0
Unaccepted,Barry0903,P1000,0,136,0
Accepted,zxy0523,P1000,1,137,0
Accepted,liudunrui,P1000,1,138,0
Unaccepted,司马仲达1st,P1000,0,139,0
Accepted,落鹰折雁,P1000,1,140,0
Unaccepted,Y3r29K,P1000,0,141,0
Accepted,Lan6626,P1000,1,142,0
Accepted,wsysh,P1000,1,143,0
Unaccepted,郑稀文,P1000,0,144,0
Unaccepted,chen2693105971,P1000,0,145,0
Unaccepted,lwjalyq,P1000,0,146,0
Accepted,小鲸鲲,P1000,1,147,0
Unaccepted,左丞相953105,P1000,0,148,0
Accepted,微冷,P1000,1,149,0
Unaccepted,yuanrunsheng1029,P1000,0,150,0
Accepted,oddy,P1000,1,151,0
Unaccepted,WANwhxwy,P1000,0,152,0
Unaccepted,王昊岩123,P1000,0,153,0
Unaccepted,19827037951smt,P1000,0,154,0
Unaccepted,pingan20091119,P1000,0,155,0
Accepted,Rowling08,P1000,1,156,0
Accepted,linzitong08,P1000,1,157,0
Accepted,tbkgxez,P1000,1,158,0
Unaccepted,ルオ・テンイ,P1000,0,159,0
Unaccepted,ZZ作者,P1000,0,160,0
Unaccepted,undefined_name,P1000,0,161,0
Unaccepted,Dajishuaibi,P1000,0,162,0
Accepted,哈哈哈豆腐花,P1000,1,163,0
Unaccepted,Stylechick_已AFO,P1000,0,164,0
Unaccepted,yspm,P1000,0,165,0
Accepted,VicChan,P1000,1,166,0
Accepted,timeccj,P1000,1,167,0
Unaccepted,OscarZhu,P1000,0,168,0
Accepted,wangruohuan21,P1000,1,169,0
Unaccepted,jiangyiyi,P1000,0,170,0
Unaccepted,epc00,P1000,0,171,0
Accepted,SC__CARTER,P1000,1,172,0
Accepted,林林林LINLIN,P1000,1,173,0
Unaccepted,dydaj12,P1000,0,174,0
Unaccepted,long53560,P1000,0,175,0
Unaccepted,花上品,P1000,0,176,0
Accepted,0921wjk,P1000,1,177,0
Accepted,shangdelong,P1000,1,178,0
Unaccepted,向甜1016,P1000,0,179,0
Accepted,ljrwm,P1000,1,180,0
Accepted,CalvinZzzz,P1000,1,181,0
Accepted,tony_black,P1000,1,182,0
Accepted,蒲冠宏,P1000,1,183,0
Unaccepted,dyyzy,P1000,0,184,0
Accepted,上官秀儿,P1000,1,185,0
Accepted,胡源浩hyh,P1000,1,186,0
Unaccepted,zaozao_zmx,P1000,0,187,0
Accepted,fufufufufu,P1000,1,188,0
Unaccepted,拉格朗月,P1000,0,189,0
Unaccepted,rickwang,P1000,0,190,0
Unaccepted,Fее_cle6418,P1000,0,191,0
Accepted,zjx090217,P1000,1,192,0
Unaccepted,guojiale0713,P1000,0,193,0
Judging,sq114514,P1000,3,194,0
Unaccepted,Lucas墨烟,P1000,0,195,0
Unaccepted,蜉蝣2645981073,P1000,0,196,0
Accepted,lcc020505,P1000,1,197,0
Accepted,joew,P1000,1,198,0
Unaccepted,gmy2009,P1001,0,199,1
Accepted,wanghj25,P1001,1,2,1
Unaccepted,xc20010217,P1001,0,200,1
Accepted,yorkwang,P1001,1,201,1
Accepted,hty20940136,P1001,1,13,1
Accepted,zhouyongqiang,P1001,1,3,1
Accepted,Puddin,P1001,1,202,1
Unaccepted,方块,P1001,0,203,1
Accepted,zhengjianhong,P1001,1,204,1
Unaccepted,qwxxx,P1001,0,5,1
Accepted,xlfish973,P1001,1,205,1
Unaccepted,oypx,P1001,0,206,1
Unaccepted,htzml,P1001,0,207,1
Accepted,Jichenxuan,P1001,1,208,1
Unaccepted,Liutianyou93,P1001,0,14,1
Accepted,zhangjing张璟,P1001,1,209,1
Accepted,LDFldf,P1001,1,210,1
Unaccepted,Raoxiaomi,P1001,0,211,1
Unaccepted,a85653374,P1001,0,212,1
Accepted,俱泸州陈好人,P1001,1,213,1
Accepted,shiguang05930,P1001,1,214,1
Accepted,shuxing,P1001,1,35,1
Accepted,gy_123456,P1001,1,215,1
Unaccepted,Wylh123,P1001,0,216,1
Accepted,Yagoosa,P1001,1,217,1
Unaccepted,060427LJY,P1001,0,218,1
Unaccepted,LI1203,P1001,0,219,1
Accepted,叨叨从零开始,P1001,1,220,1
Accepted,可可萝,P1001,1,221,1
Accepted,zjk123456789,P1001,1,222,1
Accepted,2087210589ljl,P1001,1,23,1
Accepted,yuyan123,P1001,1,223,1
Accepted,hujunhao胡峻豪,P1001,1,224,1
Accepted,Renga丶,P1001,1,52,1
Accepted,caowurui,P1001,1,225,1
Accepted,ymh080727,P1001,1,226,1
Accepted,weizhuang329,P1001,1,24,1
Accepted,三哈,P1001,1,227,1
Unaccepted,落鹰折雁,P1001,0,140,1
Unaccepted,铃音依旧,P1001,0,228,1
Unaccepted,Cc666666,P1001,0,229,1
Accepted,钰光莎莎123,P1001,1,29,1
Accepted,Fuxr,P1001,1,58,1
Accepted,Taozhiyaoyao250,P1001,1,30,1
Accepted,gentlemans1,P1001,1,31,1
Accepted,M_Ardor,P1001,1,230,1
Accepted,jiaowoxiaokuai111,P1001,1,21,1
Accepted,今天你AC了吗？,P1001,1,231,1
Accepted,lujunyin,P1001,1,232,1
Unaccepted,zhao666,P1001,0,233,1
Accepted,Litsev,P1001,1,34,1
Accepted,shiji,P1001,1,234,1
Unaccepted,Chenjiahui,P1001,0,235,1
Accepted,银翼的魔术师,P1001,1,236,1
Accepted,千手修罗,P1001,1,38,1
Accepted,qaz20020816,P1001,1,39,1
Accepted,JLu123,P1001,1,237,1
Accepted,ddcy,P1001,1,238,1
Accepted,Fancyyy,P1001,1,239,1
Accepted,隐隐约约妖艳,P1001,1,240,1
Unaccepted,Lxiansheng,P1001,0,241,1
Unaccepted,Lydia205,P1001,0,242,1
Accepted,QBHN0203,P1001,1,243,1
Accepted,guofeng,P1001,1,244,1
Accepted,没有伟哥帅,P1001,1,245,1
Accepted,爱学习嘀嘀,P1001,1,44,1
Unaccepted,24kHT,P1001,0,246,1
Unaccepted,r7o7l7a7n7d,P1001,0,41,1
Accepted,May597,P1001,1,247,1
Accepted,wztluogu,P1001,1,248,1
Unaccepted,wanyixin_WYX,P1001,0,249,1
Unaccepted,zhuhongbo521,P1001,0,250,1
Accepted,duhongxu,P1001,1,251,1
Accepted,meihao,P1001,1,252,1
Accepted,jsbqk,P1001,1,253,1
Accepted,YIS13,P1001,1,254,1
Accepted,刘小玉l,P1001,1,255,1
Unaccepted,larrygao,P1001,0,36,1
Unaccepted,我爱铃（yuper）,P1001,0,256,1
Accepted,cyy2066270092,P1001,1,257,1
Unaccepted,diyi,P1001,0,258,1
Unaccepted,ak20010203,P1001,0,259,1
Unaccepted,Jeffjiang,P1001,0,19,1
Accepted,杨佳林（2019）,P1001,1,260,1
Accepted,disappoint,P1001,1,33,1
Accepted,Zp1179236587,P1001,1,261,1
Accepted,tsunami,P1001,1,262,1
Unaccepted,CiAFang,P1001,0,263,1
Accepted,tju186,P1001,1,40,1
Accepted,wyh741852963,P1001,1,264,1
Accepted,星河_潜行,P1001,1,265,1
Unaccepted,Asrive,P1001,0,266,1
Accepted,Lucky_,P1001,1,267,1
Accepted,周沐明zmm666,P1001,1,268,1
Accepted,david_66,P1001,1,269,1
Accepted,瀚海信竟dhy,P1001,1,50,1
Unaccepted,骑着猪的鹅,P1001,0,270,1
Accepted,xingjiahui,P1001,1,49,1
Accepted,王浩瀚2008,P1001,1,271,1
Accepted,袁世凯4455,P1001,1,272,1
Accepted,haczzyl,P1001,1,273,1
Accepted,ce123,P1001,1,274,1
Unaccepted,hangchu,P1001,0,275,1
Unaccepted,怎么吃都不饱,P1001,0,125,1
Unaccepted,yingjingxu,P1001,0,57,1
Unaccepted,stranger_74,P1001,0,54,1
Unaccepted,Harker,P1001,0,111,1
Unaccepted,luanshangbo,P1001,0,43,1
Accepted,canlan星河,P1001,1,276,1
Accepted,lizhaoqiang,P1001,1,277,1
Unshown,,P1001,2,46,1
Unaccepted,✨USTCJYZ✨,P1001,0,278,1
Accepted,Lucifer1,P1001,1,61,1
Unaccepted,AusnUnia,P1001,0,66,1
Unaccepted,wangshiyang,P1001,0,279,1
Accepted,哈哈哥598,P1001,1,280,1
Accepted,创新,P1001,1,281,1
Accepted,LforikX,P1001,1,282,1
Accepted,HHHyuewei,P1001,1,283,1
Unaccepted,mxchxydwtx,P1001,0,284,1
Accepted,cgy陈冠宇,P1001,1,69,1
Unaccepted,小呆呆,P1001,0,285,1
Unaccepted,suansuan20071031,P1001,0,286,1
Accepted,末路江郎,P1001,1,287,1
Accepted,wryyyyyyyy,P1001,1,72,1
Unaccepted,八嘎压路,P1001,0,288,1
Unaccepted,MagicPF,P1001,0,289,1
Accepted,xuxianzhi111,P1001,1,290,1
Accepted,a2480093,P1001,1,291,1
Accepted,为你写诗,P1001,1,292,1
Unaccepted,钟鸣谦ZMQ,P1001,0,293,1
Accepted,沉郁,P1001,1,294,1
Unaccepted,慕与灵先生的,P1001,0,295,1
Unaccepted,Hzy82625,P1001,0,296,1
Unaccepted,Layznana,P1001,0,297,1
Accepted,aiser520,P1001,1,298,1
Unaccepted,tygjhyuk,P1001,0,299,1
Unaccepted,yangdan1992,P1001,0,300,1
Accepted,shenlan1226,P1001,1,76,1
Accepted,dyh0204,P1001,1,301,1
Accepted,Chrora,P1001,1,77,1
Unaccepted,oujunsong,P1001,0,302,1
Accepted,Roy136,P1001,1,303,1
Unaccepted,wxz123888,P1001,0,304,1
Accepted,po1866,P1001,1,305,1
Unaccepted,UnknownHostException,P1001,0,306,1
Accepted,tlzx_px,P1001,1,307,1
Accepted,ruirui,P1001,1,308,1
Accepted,KLEED,P1001,1,309,1
Accepted,baishengmen,P1001,1,82,1
Unaccepted,caiyunzhao,P1001,0,310,1
Unaccepted,CHUANJIGL,P1001,0,311,1
Unaccepted,幸福的阳光,P1001,0,312,1
Accepted,remrem,P1001,1,313,1
Accepted,luogu_zsj,P1001,1,314,1
Accepted,Kezoom,P1001,1,315,1
Unaccepted,LO_XJY_VE,P1001,0,316,1
Unaccepted,wistars,P1001,0,317,1
Unaccepted,jianlan0335,P1001,0,318,1
Unaccepted,caoxiaonan,P1001,0,319,1
Accepted,wei189299,P1001,1,90,1
Accepted,李坤璘,P1001,1,89,1
Accepted,lihaifeng,P1001,1,320,1
Accepted,hhoppitree,P1001,1,321,1
Accepted,z97155,P1001,1,86,1
Unaccepted,培淇2021,P1001,0,322,1
Unaccepted,VecTorLi,P1001,0,323,1
Accepted,ZZN1204,P1001,1,324,1
Accepted,柑普0615,P1001,1,93,1
Accepted,鹊桥仙令,P1001,1,325,1
Unaccepted,tqz1013,P1001,0,326,1
Accepted,dream_Hao,P1001,1,327,1
Accepted,11BAI123,P1001,1,328,1
Accepted,xhl_338,P1001,1,97,1
Accepted,Rotation°,P1001,1,329,1
Unaccepted,陈chen54188,P1001,0,330,1
Accepted,Na_intern,P1001,1,331,1
Unaccepted,李常定7788,P1001,0,332,1
Accepted,Scandium123,P1001,1,103,1
Accepted,pppqqc,P1001,1,105,1
Unaccepted,zlx517,P1001,0,333,1
Unaccepted,zxych001,P1001,0,108,1
Accepted,kanhw,P1001,1,334,1
Unaccepted,赫鲁小夫,P1001,0,335,1
Accepted,dy20100406,P1001,1,109,1
Unaccepted,ljx19971013,P1001,0,107,1
Accepted,lemmmm,P1001,1,110,1
Accepted,zouxiang,P1001,1,106,1
Unaccepted,KABB,P1001,0,112,1
Accepted,qiuxiong1590,P1001,1,116,1
Unaccepted,lhl13888668895,P1001,0,115,1
Accepted,yjm6788,P1001,1,336,1
Accepted,wxxx,P1001,1,337,1
Unaccepted,thisisliang,P1001,0,118,1
Accepted,安居客kkc,P1001,1,338,1
Unaccepted,轩儿儿儿,P1001,0,339,1
Accepted,ZX233333,P1001,1,120,1
Accepted,Ckeaiplus,P1001,1,340,1
Accepted,Eason_AC,P1001,1,341,1
Accepted,seandev,P1001,1,342,1
Unaccepted,Mysteryflight,P1001,0,343,1
Accepted,ncoheart,P1001,1,123,1
Accepted,qinyihao,P1001,1,344,1
Unaccepted,Zshisan,P1001,0,345,1
Accepted,liujianmingshinidie,P1001,1,124,1
Accepted,hawkee,P1001,1,346,1
Unaccepted,WYTttao,P1001,0,128,1
Accepted,zgy666,P1001,1,347,1
Accepted,jo_sen,P1001,1,130,1
Accepted,why1286354099,P1001,1,132,1
Accepted,L_叶心,P1001,1,348,1
Accepted,123954355Hkr,P1001,1,349,1
Unaccepted,codejesus_young,P1001,0,0,1
Accepted,QSH123321,P1001,1,350,1
Unaccepted,wsmnb,P1001,0,135,1
Accepted,Hxin,P1001,1,351,1
Accepted,ACCXavier,P1001,1,352,1
Accepted,c1010ccrush,P1001,1,134,1
Accepted,小卒甲假小卒,P1001,1,353,1
Unaccepted,Barry0903,P1001,0,136,1
Unaccepted,Heyf,P1001,0,354,1
Accepted,Gayler,P1001,1,355,1
Accepted,liudunrui,P1001,1,138,1
Accepted,Sonja郁妍,P1001,1,356,1
Accepted,Xu_Lejian,P1001,1,357,1
Accepted,siwanzhiyi,P1001,1,358,1
Unaccepted,Rikka125,P1001,0,359,1
Accepted,trf2476,P1001,1,360,1
Accepted,Rikka356,P1001,1,361,1
Accepted,yudidina,P1001,1,362,1
Unaccepted,ruika06,P1001,0,363,1
Accepted,君子曰,P1001,1,364,1
Unaccepted,CMZ晨安,P1002,0,365,2
Unaccepted,unbelievable666,P1002,0,366,2
Accepted,BetterMeforD,P1002,1,367,2
Unaccepted,末路江郎,P1002,0,287,2
Unaccepted,SeeHow,P1002,0,368,2
Unaccepted,jie8792343g5,P1002,0,369,2
Unaccepted,球球了AC吧,P1002,0,370,2
Unaccepted,Grouchy,P1002,0,371,2
Accepted,杨振亚673,P1002,1,372,2
Unaccepted,Lokirovskii,P1002,0,373,2
Unaccepted,turing66,P1002,0,374,2
Unaccepted,索尔·奥丁森,P1002,0,375,2
Accepted,meng12138,P1002,1,376,2
Unaccepted,tzhiy,P1002,0,377,2
Unaccepted,张宇豪666,P1002,0,378,2
Unaccepted,bcybcy,P1002,0,379,2
Accepted,LUCYSTEAM,P1002,1,380,2
Unaccepted,湖工vip,P1002,0,381,2
Unaccepted,long20021703,P1002,0,382,2
Accepted,123703zyf,P1002,1,383,2
Unaccepted,Turbo_engine,P1002,0,384,2
Unaccepted,sthtbsny,P1002,0,385,2
Unaccepted,d1d1d,P1002,0,386,2
Unaccepted,xiaoxuheng,P1002,0,387,2
Unaccepted,LuoYf,P1002,0,388,2
Accepted,ToBeTrusted,P1002,1,389,2
Unaccepted,yh200314,P1002,0,390,2
Unaccepted,lanos212,P1002,0,391,2
Unaccepted,yoyo_looming,P1002,0,392,2
Unaccepted,cyy2066270092,P1002,0,257,2
Unaccepted,Alonezyj,P1002,0,393,2
Unaccepted,化尘star,P1002,0,394,2
Unaccepted,xiaoju,P1002,0,395,2
Unshown,,P1002,2,46,2
Unaccepted,SuRer1234,P1002,0,396,2
Accepted,淡看宝贝,P1002,1,397,2
Unaccepted,genius_dzb,P1002,0,398,2
Unaccepted,zy187,P1002,0,399,2
Unaccepted,po1866,P1002,0,305,2
Unaccepted,xhl_338,P1002,0,97,2
Unaccepted,ytswr,P1002,0,400,2
Unaccepted,Jaryiyyyyy,P1002,0,401,2
Unaccepted,HZH7318,P1002,0,402,2
Unaccepted,dream_Hao,P1002,0,327,2
Unaccepted,Felix啊啊啊啊,P1002,0,403,2
Unaccepted,bks123,P1002,0,404,2
Unaccepted,峻宇哥,P1002,0,405,2
Unaccepted,vv_ay3c4,P1002,0,406,2
Unaccepted,ememmm,P1002,0,407,2
Accepted,std666,P1002,1,408,2
Accepted,朱梓泉的爸爸,P1002,1,409,2
Unaccepted,2545279069CJW,P1002,0,410,2
Accepted,chenwanxi41,P1002,1,411,2
Unaccepted,nick_zha,P1002,0,412,2
Unaccepted,ncoheart,P1002,0,123,2
Unaccepted,whh005,P1002,0,413,2
Unaccepted,WUZHICHAO,P1002,0,414,2
Unaccepted,baobeihu1126,P1002,0,415,2
Unaccepted,jo_sen,P1002,0,130,2
Accepted,asdfgh55649,P1002,1,416,2
Unaccepted,skyfly886,P1002,0,417,2
Accepted,c。,P1002,1,418,2
Unaccepted,978935810zmj,P1002,0,419,2
Unaccepted,H2030819025,P1002,0,420,2
Accepted,huangkx,P1002,1,421,2
Unaccepted,wyxwyxwyx,P1002,0,422,2
Unaccepted,woshixiaohunzi,P1002,0,423,2
Unaccepted,不羁123,P1002,0,424,2
Unaccepted,2yue14,P1002,0,425,2
Unaccepted,Summer_Ltd,P1002,0,426,2
Accepted,Awkward,P1002,1,427,2
Unaccepted,handsome俊,P1002,0,428,2
Unaccepted,wlmszdnb,P1002,0,429,2
Unaccepted,QiJunliang,P1002,0,430,2
Accepted,lcc020505,P1002,1,197,2
Unaccepted,ExhaustedBoy,P1002,0,431,2
Unaccepted,mengyishi,P1002,0,432,2
Unaccepted,SCNU_YJX,P1002,0,433,2
Unaccepted,YSHK132456789,P1002,0,434,2
Unaccepted,low123,P1002,0,435,2
Accepted,小龙喵,P1002,1,436,2
Unaccepted,phoenix76,P1002,0,437,2
Unaccepted,L1509021938,P1002,0,438,2
Unaccepted,whffams,P1002,0,439,2
Unaccepted,tya123,P1002,0,440,2
Accepted,御坂mikoto,P1002,1,441,2
Accepted,z_y_m,P1002,1,442,2
Waiting,Chen_Tai,P1002,4,443,2
Waiting,jknbhbuy,P1002,4,444,2
Accepted,h202010,P1002,1,445,2
Unaccepted,tongzhenxuan,P1002,0,446,2
Unaccepted,彤日初升,P1002,0,447,2
Unaccepted,LQM799,P1002,0,448,2
Unaccepted,TJUT_0015,P1002,0,449,2
Accepted,hujia2021,P1002,1,450,2
Accepted,SYS传闻中的球,P1002,1,451,2
Unaccepted,余生慢,P1002,0,452,2
Unaccepted,家父张二河,P1002,0,453,2
Unaccepted,sq524594846,P1002,0,454,2
Unaccepted,zh3338024948,P1002,0,455,2
Unaccepted,aa15815164433,P1002,0,456,2
Unaccepted,dongxiaofengbc,P1002,0,457,2
Unaccepted,Con24kn,P1002,0,458,2
Accepted,k y m,P1002,1,459,2
Accepted,koro,P1002,1,460,2
Accepted,wh0142,P1002,1,461,2
Unaccepted,C200613黄渝博,P1002,0,462,2
Unaccepted,zjq88584656,P1002,0,463,2
Accepted,xmmz517787023,P1002,1,464,2
Accepted,FTTS,P1002,1,465,2
Unaccepted,Aros,P1002,0,466,2
Unaccepted,wangyudong09,P1002,0,467,2
Unaccepted,幻想乐章,P1002,0,468,2
Accepted,Durable,P1002,1,469,2
Unaccepted,姜役_Eli,P1003,0,470,3
Unaccepted,Break_tao,P1003,0,471,3
Unaccepted,林楷淞666,P1003,0,472,3
Unaccepted,li1994218,P1003,0,473,3
Accepted,zxhyll,P1003,1,474,3
Unaccepted,陈宏浩,P1003,0,475,3
Unaccepted,WAWA的,P1003,0,476,3
Accepted,陈情、无机,P1003,1,477,3
Unaccepted,DDD老猹,P1003,0,478,3
Accepted,zhangxinyang2008,P1003,1,479,3
Accepted,wuwei1636,P1003,1,480,3
Unaccepted,ckk_0118,P1003,0,481,3
Accepted,CreeperLv,P1003,1,482,3
Unaccepted,chw081024,P1003,0,483,3
Unaccepted,Dortmund,P1003,0,484,3
Unaccepted,123703zyf,P1003,0,383,3
Accepted,qy123456,P1003,1,485,3
Unaccepted,帅开椰子皮,P1003,0,486,3
Unaccepted,aikun01,P1003,0,487,3
Accepted,xiaoju,P1003,1,395,3
Accepted,codeloong,P1003,1,488,3
Accepted,180993751zuo,P1003,1,489,3
Unaccepted,lz486,P1003,0,490,3
Unaccepted,COD002,P1003,0,491,3
Unaccepted,淡看宝贝,P1003,0,397,3
Unaccepted,jccccccc,P1003,0,492,3
Accepted,虞政熹,P1003,1,493,3
Accepted,2627423072lzz,P1003,1,494,3
Unaccepted,RyanLei,P1003,0,495,3
Unaccepted,liujingzhichen,P1003,0,496,3
Accepted,cunkouyoukesong,P1003,1,497,3
Unaccepted,lpq0268,P1003,0,498,3
Unaccepted,成晨,P1003,0,499,3
Accepted,多啦xr,P1003,1,500,3
Unaccepted,magiczfz,P1003,0,501,3
Unaccepted,xiaoqi0,P1003,0,502,3
Accepted,darkforce,P1003,1,503,3
Unaccepted,castielZH,P1003,0,504,3
Unaccepted,huang0412,P1003,0,505,3
Unaccepted,d1d1d,P1003,0,386,3
Unaccepted,daiyang,P1003,0,506,3
Accepted,朱梓泉的爸爸,P1003,1,409,3
Accepted,lyx070122,P1003,1,507,3
Unaccepted,CircaHAN1,P1003,0,508,3
Unaccepted,wuyuhangnb,P1003,0,509,3
Accepted,BetterMeforD,P1003,1,367,3
Unaccepted,ncoheart,P1003,0,123,3
Accepted,MR_QIN,P1003,1,510,3
Accepted,天南星魔芋,P1003,1,511,3
Unaccepted,decentjoker,P1003,0,512,3
Accepted,Daises,P1003,1,114,3
Unaccepted,lovesickman,P1003,0,513,3
Accepted,哲学家写散文,P1003,1,514,3
Unaccepted,ZX233333,P1003,0,120,3
Accepted,jo_sen,P1003,1,130,3
Unaccepted,long1997,P1003,0,515,3
Unaccepted,978935810zmj,P1003,0,419,3
Unaccepted,AAA18947208923,P1003,0,133,3
Unaccepted,6973lb,P1003,0,516,3
Unaccepted,我演我演！,P1003,0,517,3
Accepted,tlemangen,P1003,1,518,3
Unaccepted,biejiaowohuazi,P1003,0,519,3
Unaccepted,1433223cx,P1003,0,520,3
Unaccepted,taoqibufazhan,P1003,0,521,3
Unshown,,P1003,2,46,3
Accepted,zaqxswcdevfr,P1003,1,522,3
Accepted,Jyc2,P1003,1,523,3
